DateKey,reporting_period,Year,MonthNumber,supplier_id,supplier_name,country_of_origin,region,transport_mode,transport_mode_label,shipment_count,total_weight_kg,total_units_shipped,total_carbon_kg_co2e,total_carbon_tonnes,carbon_per_unit_kg,carbon_saved_vs_air_kg,total_order_value_gbp,reliability_score
20240101,2024-01,2024,1,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),6,1830.58,1152,329.5,0.3295,0.286,1654.11,6924.52,0.85
20240101,2024-01,2024,1,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),6,1320.27,1066,145.23,0.1452,0.1362,729.05,6959.8,0.93
20240101,2024-01,2024,1,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,1,34.51,48,114.26,0.1143,2.3804,0.0,1367.04,0.76
20240101,2024-01,2024,1,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),3,527.27,540,73.82,0.0738,0.1367,370.57,4044.84,0.91
20240101,2024-01,2024,1,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),2,223.05,372,69.59,0.0696,0.1871,2548.79,1740.72,0.78
20240101,2024-01,2024,1,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),4,1707.35,896,42.68,0.0427,0.0476,214.27,5588.48,0.98
20240101,2024-01,2024,1,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),5,1469.76,1060,36.74,0.0367,0.0347,184.45,7837.0,0.96
20240101,2024-01,2024,1,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,Sea (Container),1,61.32,120,0.25,0.0002,0.0021,8.98,1184.4,0.91
20240201,2024-02,2024,2,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,4,338.51,348,1120.81,1.1208,3.2207,0.0,6105.36,0.76
20240201,2024-02,2024,2,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),9,2294.37,1702,412.99,0.413,0.2426,2073.19,11096.62,0.85
20240201,2024-02,2024,2,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),7,1463.38,1470,204.87,0.2049,0.1394,1028.46,8132.76,0.91
20240201,2024-02,2024,2,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),6,1096.57,1264,120.62,0.1206,0.0954,605.53,7296.8,0.93
20240201,2024-02,2024,2,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),7,1665.85,1496,41.65,0.0416,0.0278,209.06,12237.04,0.96
20240201,2024-02,2024,2,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),1,614.02,192,15.35,0.0154,0.0799,77.06,1996.8,0.98
20240201,2024-02,2024,2,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),1,31.86,108,9.94,0.0099,0.092,364.06,1206.36,0.78
20240201,2024-02,2024,2,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),2,53.71,96,9.45,0.0095,0.0984,346.21,2174.4,0.8
20240201,2024-02,2024,2,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,SEA,Sea (Container),1,51.3,54,5.58,0.0056,0.1033,204.42,989.28,0.76
20240301,2024-03,2024,3,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,4,265.91,274,880.43,0.8804,3.2132,0.0,5502.02,0.76
20240301,2024-03,2024,3,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),12,3611.19,2322,650.01,0.65,0.2799,3263.07,17609.02,0.85
20240301,2024-03,2024,3,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),8,1276.54,1710,178.72,0.1787,0.1045,897.15,11239.68,0.91
20240301,2024-03,2024,3,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),5,1236.72,982,136.04,0.136,0.1385,682.92,6228.1,0.93
20240301,2024-03,2024,3,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),4,1913.65,1040,47.84,0.0478,0.046,240.16,6372.88,0.98
20240301,2024-03,2024,3,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),5,1493.81,1044,37.35,0.0373,0.0358,187.47,9171.24,0.96
20240301,2024-03,2024,3,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),2,90.5,312,28.24,0.0282,0.0905,1034.14,2915.28,0.78
20240301,2024-03,2024,3,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),2,53.71,96,9.45,0.0095,0.0984,346.21,2212.32,0.8
20240401,2024-04,2024,4,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),10,3190.94,2380,574.37,0.5744,0.2413,2883.33,17066.72,0.85
20240401,2024-04,2024,4,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,2,149.0,172,493.34,0.4933,2.8683,0.0,2282.24,0.76
20240401,2024-04,2024,4,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),8,2070.4,2064,289.86,0.2899,0.1404,1455.08,11906.04,0.91
20240401,2024-04,2024,4,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),8,1333.79,1826,146.72,0.1467,0.0804,736.52,12233.56,0.93
20240401,2024-04,2024,4,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),3,309.23,594,96.48,0.0965,0.1624,3533.57,3736.8,0.78
20240401,2024-04,2024,4,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),4,1702.75,1016,42.57,0.0426,0.0419,213.7,7994.48,0.96
20240401,2024-04,2024,4,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),2,1088.26,576,27.21,0.0272,0.0472,136.58,3937.92,0.98
20240401,2024-04,2024,4,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),3,81.55000000000001,192,14.35,0.0144,0.0747,525.67,3856.8,0.8
