DateKey,reporting_period,Year,MonthNumber,supplier_id,supplier_name,country_of_origin,region,transport_mode,transport_mode_label,shipment_count,total_weight_kg,total_units_shipped,total_carbon_kg_co2e,total_carbon_tonnes,carbon_per_unit_kg,carbon_saved_vs_air_kg,total_order_value_gbp,reliability_score
20240101,2024-01,2024,1,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,2,131.89999999999998,154,436.72,0.4367,2.8358,0.0,1992.26,0.76
20240101,2024-01,2024,1,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),7,1556.13,1024,280.1,0.2801,0.2735,1406.12,6998.6,0.85
20240101,2024-01,2024,1,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),6,1270.26,1020,177.84,0.1778,0.1744,892.74,5483.76,0.91
20240101,2024-01,2024,1,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),9,1609.04,1460,176.99,0.177,0.1212,888.51,7761.68,0.93
20240101,2024-01,2024,1,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),4,1200.51,608,30.01,0.03,0.0494,150.66,3714.88,0.98
20240101,2024-01,2024,1,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),1,41.33,144,12.9,0.0129,0.0896,472.28,1226.88,0.78
20240101,2024-01,2024,1,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),3,485.22,468,12.13,0.0121,0.0259,60.9,3432.24,0.96
20240201,2024-02,2024,2,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,3,226.81,248,750.97,0.751,3.0281,0.0,4299.48,0.76
20240201,2024-02,2024,2,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),6,1382.78,952,248.9,0.2489,0.2614,1249.48,5081.26,0.85
20240201,2024-02,2024,2,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),5,689.37,654,96.51,0.0965,0.1476,484.49,5179.56,0.91
20240201,2024-02,2024,2,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),2,213.58,336,66.64,0.0666,0.1983,2440.58,1796.04,0.78
20240201,2024-02,2024,2,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),3,664.0699999999999,344,16.6,0.0166,0.0483,83.34,3376.2,0.96
20240201,2024-02,2024,2,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),2,53.71,96,9.45,0.0095,0.0984,346.21,2129.28,0.8
20240201,2024-02,2024,2,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),1,42.0,100,4.62,0.0046,0.0462,23.19,1620.0,0.93
20240301,2024-03,2024,3,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,5,346.51,374,1147.29,1.1473,3.0676,0.0,6471.88,0.76
20240301,2024-03,2024,3,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),10,2479.4,1648,446.29,0.4463,0.2708,2240.39,11035.88,0.85
20240301,2024-03,2024,3,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),9,1914.31,1712,210.57,0.2106,0.123,1057.08,8853.8,0.93
20240301,2024-03,2024,3,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),6,1277.27,1182,178.82,0.1788,0.1513,897.67,6349.62,0.91
20240301,2024-03,2024,3,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,AIR,Air Freight,1,13.92,48,56.14,0.0561,1.1696,0.0,844.8,0.8
20240301,2024-03,2024,3,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),4,1457.17,728,36.43,0.0364,0.05,182.87,4653.36,0.98
20240301,2024-03,2024,3,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),5,1196.76,960,29.92,0.0299,0.0312,150.19,7721.76,0.96
20240301,2024-03,2024,3,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),2,76.72999999999999,264,23.94,0.0239,0.0907,876.79,2546.88,0.78
20240301,2024-03,2024,3,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),1,39.79,48,7.0,0.007,0.1458,256.49,1327.2,0.8
20240401,2024-04,2024,4,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,3,214.61,220,710.57,0.7106,3.2299,0.0,4572.84,0.76
20240401,2024-04,2024,4,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),8,1527.69,1268,274.98,0.275,0.2169,1380.42,9215.64,0.85
20240401,2024-04,2024,4,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),4,767.3,672,107.42,0.1074,0.1599,539.26,4389.48,0.91
20240401,2024-04,2024,4,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),2,254.13,402,79.29,0.0793,0.1972,2903.94,2134.5,0.78
20240401,2024-04,2024,4,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),1,614.02,192,15.35,0.0154,0.0799,77.06,2054.4,0.98
20240401,2024-04,2024,4,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),3,581.8900000000001,516,14.55,0.0145,0.0282,73.03,4079.2,0.96
20240401,2024-04,2024,4,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),2,53.71,96,9.45,0.0095,0.0984,346.21,2168.64,0.8
20240401,2024-04,2024,4,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),2,67.92,220,7.47,0.0075,0.034,37.51,3113.0,0.93
20240401,2024-04,2024,4,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,Sea (Container),1,27.59,126,0.11,0.0001,0.0009,4.04,1782.9,0.91
20240501,2024-05,2024,5,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,4,375.81,420,1244.31,1.2443,2.9626,0.0,6558.08,0.76
20240501,2024-05,2024,5,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),7,2188.4700000000003,1248,393.92,0.3939,0.3156,1977.5,7697.8,0.85
20240501,2024-05,2024,5,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),7,1631.82,1452,228.45,0.2285,0.1573,1146.84,7266.18,0.91
20240501,2024-05,2024,5,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),7,2020.49,1642,222.25,0.2223,0.1354,1115.71,6232.74,0.93
20240501,2024-05,2024,5,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,AIR,Air Freight,1,39.79,48,160.49,0.1605,3.3435,0.0,1327.68,0.8
20240501,2024-05,2024,5,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),3,140.06,480,43.7,0.0437,0.091,1600.47,4776.48,0.78
20240501,2024-05,2024,5,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),3,805.96,580,20.15,0.0201,0.0347,101.15,4867.8,0.96
20240501,2024-05,2024,5,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),2,500.35,336,12.51,0.0125,0.0372,62.79,1899.84,0.98
20240501,2024-05,2024,5,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,SEA,Sea (Container),1,80.6,100,8.77,0.0088,0.0877,321.17,1001.0,0.76
20240501,2024-05,2024,5,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),1,27.84,96,4.9,0.0049,0.051,179.46,1663.68,0.8
20240501,2024-05,2024,5,SUP-002,EuroFast GmbH,Germany,EUROPEAN,RAIL,Rail (Freight),1,42.0,100,0.29,0.0003,0.0029,6.03,1594.0,0.93
20240601,2024-06,2024,6,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,4,398.77,450,1320.33,1.3203,2.9341,0.0,7264.68,0.76
20240601,2024-06,2024,6,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),9,2055.5,1646,369.99,0.37,0.2248,1857.35,12838.1,0.85
