reporting_period,shipment_count,total_units_shipped,total_weight_tonnes,total_carbon_kg_co2e,total_carbon_tonnes_co2e,carbon_saved_vs_air_kg,total_spend_gbp,road_shipments,sea_shipments,air_shipments,rail_shipments,carbon_intensity_kg_per_unit,carbon_intensity_kg_per_gbp,pct_air_shipments,carbon_saved_vs_air_tonnes,Year,MonthNumber,DateKey,carbon_intensity_per_order,pct_sea_shipments,pct_road_shipments
2024-01,32,4878,6.29439,1126.69,1.1267,3871.2068,30610.3,29,1,2,0,0.231,0.036808,6.2,3.8712,2024,1,20240101,35.2091,3.1,90.6
2024-02,21,2630,3.19172,926.82,0.9268,4627.296,22495.18,15,4,2,0,0.3524,0.041201,9.5,4.6273,2024,2,20240201,44.1343,19.0,71.4
2024-03,44,7064,8.88246,2403.28,2.4033,5661.4814,50848.94,34,3,7,0,0.3402,0.047263,15.9,5.6615,2024,3,20240301,54.62,6.8,77.3
2024-04,28,3860,4.22925,1493.07,1.4931,5617.9578,35864.88,18,6,4,0,0.3868,0.04163,14.3,5.618,2024,4,20240401,53.3239,21.4,64.3
2024-05,34,6154,7.5716,1636.76,1.6368,6189.9503,40514.6,26,4,3,1,0.266,0.040399,8.8,6.19,2024,5,20240501,48.14,11.8,76.5
2024-06,34,5596,6.21067,2097.58,2.0976,7955.485000000001,54237.9,22,7,5,0,0.3748,0.038674,14.7,7.9555,2024,6,20240601,61.6935,20.6,64.7
2024-07,38,8122,10.32446,1775.62,1.7756,7525.7106,52916.14,33,3,2,0,0.2186,0.033555,5.3,7.5257,2024,7,20240701,46.7268,7.9,86.8
2024-08,24,4028,4.97169,2375.43,2.3754,5744.7482,38746.04,16,3,5,0,0.5897,0.061308,20.8,5.7447,2024,8,20240801,98.9762,12.5,66.7
2024-09,42,7726,8.74722,2289.99,2.29,6563.2024,56767.16,32,5,4,1,0.2964,0.04034,9.5,6.5632,2024,9,20240901,54.5236,11.9,76.2
2024-10,26,4440,5.5501000000000005,1909.61,1.9096,6395.4803,40857.4,17,5,4,0,0.4301,0.046738,15.4,6.3955,2024,10,20241001,73.4465,19.2,65.4
2024-11,41,9670,11.79717,3479.64,3.4796,9056.0122,67633.78,31,4,6,0,0.3598,0.051448,14.6,9.056,2024,11,20241101,84.8693,9.8,75.6
2024-12,26,5986,6.30799,1988.89,1.9889,8195.6507,58504.48,17,5,4,0,0.3323,0.033995,15.4,8.1957,2024,12,20241201,76.4958,19.2,65.4
2025-01,46,7552,9.64701,2678.36,2.6784,7097.0377,55914.46,37,4,5,0,0.3547,0.047901,10.9,7.097,2025,1,20250101,58.2252,8.7,80.4
2025-02,18,2028,2.76704,1193.4,1.1934,3808.078500000001,22040.78,10,4,4,0,0.5885,0.054145,22.2,3.8081,2025,2,20250201,66.3,22.2,55.6
2025-03,42,6956,7.98183,1714.78,1.7148,7643.025299999999,46380.12,35,4,3,0,0.2465,0.036972,7.1,7.643,2025,3,20250301,40.8281,9.5,83.3
2025-04,26,3696,4.99235,1377.77,1.3778,3983.8892,34705.72,18,5,3,0,0.3728,0.039699,11.5,3.9839,2025,4,20250401,52.9912,19.2,69.2
2025-05,38,7010,8.05344,2039.39,2.0394,5646.2038,47258.5,29,4,5,0,0.2909,0.043154,13.2,5.6462,2025,5,20250501,53.6682,10.5,76.3
2025-06,26,4350,6.43462,2160.52,2.1605,6343.5654,40678.6,18,3,5,0,0.4967,0.053112,19.2,6.3436,2025,6,20250601,83.0969,11.5,69.2
2025-07,42,8302,8.64545,2704.62,2.7046,6854.0941,60471.0,33,3,6,0,0.3258,0.044726,14.3,6.8541,2025,7,20250701,64.3957,7.1,78.6
2025-08,24,4076,4.91084,1694.94,1.6949,6865.6684000000005,36607.22,16,5,3,0,0.4158,0.046301,12.5,6.8657,2025,8,20250801,70.6225,20.8,66.7
2025-09,37,7284,9.07182,2305.43,2.3054,8183.484600000001,48546.08,30,3,4,0,0.3165,0.04749,10.8,8.1835,2025,9,20250901,62.3089,8.1,81.1
2025-10,30,4912,6.41728,2369.24,2.3692,4440.2977,45777.58,21,3,6,0,0.4823,0.051755,20.0,4.4403,2025,10,20251001,78.9747,10.0,70.0
2025-11,39,9358,9.98228,2477.03,2.477,10581.605,66268.62,30,5,4,0,0.2647,0.037379,10.3,10.5816,2025,11,20251101,63.5136,12.8,76.9
2025-12,27,5722,7.69468,2626.31,2.6263,5170.2961,55681.38,20,2,5,0,0.459,0.047167,18.5,5.1703,2025,12,20251201,97.2707,7.4,74.1
