product_id,product_name,category_name,abc_class,supplier_id,recommended_mode,green_decision_made,avg_daily_demand,mean_demand_during_lt,lt_avg_simulated,lt_p90_days,lt_p95_days,lt_spike_events_pct,safety_stock_current,safety_stock_optimised,rop_current,rop_optimised,stockout_prob_current,stockout_prob_optimised,service_level_target,service_level_achieved,safety_stock_value_current,safety_stock_value_optimised,working_capital_saved_gbp,working_capital_released,annual_holding_cost_curr,annual_holding_cost_opt,carbon_saving_vs_air_kg,stockout_improvement_pct
PRD-00001,Premium Kitchen Roll 6-Pack,Household Essentials,B,SUP-006,ROAD,False,11.44,148.7,13.6,17,18,4.8,68,68,217,217,0.0953,0.0953,0.9,0.9047,0.0,0,0.0,0.0,84.15,84.15,0.0,0.0
PRD-00002,Aluminium Foil 30m Roll,Household Essentials,C,SUP-006,ROAD,False,6.96,90.5,13.6,17,19,5.1,45,34,136,125,0.0873,0.1416,0.85,0.8584,35.53,0,35.53,35.53,36.34,27.45,0.0,-62.2
PRD-00003,Cling Film 100m,Household Essentials,B,SUP-006,ROAD,False,12.12,157.5,13.5,17,18,4.6,71,70,229,228,0.0924,0.0953,0.9,0.9047,4.39,0,4.39,4.39,77.92,76.82,0.0,-3.1
PRD-00004,Bin Bags 40L 50-Pack,Household Essentials,A,SUP-006,ROAD,False,8.3,107.9,13.5,17,18,4.4,50,67,158,175,0.0909,0.0475,0.95,0.9525,0.0,0,0.0,0.0,155.5,208.37,0.0,47.7
PRD-00005,Washing Up Liquid 500ml,Household Essentials,B,SUP-002,ROAD,False,9.52,85.7,9.3,11,12,4.8,42,41,128,127,0.0911,0.0955,0.9,0.9045,5.61,0,5.61,5.61,58.91,57.5,0.0,-4.8
PRD-00006,Dishwasher Tablets 60-Pack,Household Essentials,B,SUP-006,ROAD,False,7.18,93.4,13.5,17,18,4.7,44,43,138,137,0.0899,0.0944,0.9,0.9056,7.74,0,7.74,7.74,85.14,83.2,0.0,-5.0
PRD-00007,Kitchen Cleaner Spray 750ml,Household Essentials,A,SUP-001,ROAD,False,9.16,41.2,4.6,6,6,0.9,25,31,67,73,0.0736,0.0461,0.95,0.9539,0.0,0,0.0,0.0,65.25,80.91,0.0,37.4
PRD-00008,Toilet Cleaner 750ml,Household Essentials,C,SUP-008,ROAD,False,6.16,18.5,3.0,4,4,0.4,14,9,33,28,0.0606,0.1266,0.85,0.8734,18.75,0,18.75,18.75,13.12,8.44,0.0,-108.9
PRD-00009,Bathroom Cleaner 500ml,Household Essentials,B,SUP-001,ROAD,False,10.96,49.3,4.6,6,6,1.0,29,26,79,76,0.0772,0.0916,0.9,0.9084,14.49,0,14.49,14.49,35.02,31.39,0.0,-18.7
PRD-00010,Multi-Surface Wipes 80-Pack,Household Essentials,C,SUP-006,ROAD,False,8.36,108.7,13.6,17,19,5.1,52,40,161,149,0.0917,0.1415,0.85,0.8585,32.28,0,32.28,32.28,34.97,26.9,0.0,-54.3
PRD-00011,Sponge Scourers 10-Pack,Household Essentials,A,SUP-006,ROAD,False,7.53,97.9,13.6,17,18,4.8,47,63,145,161,0.0893,0.0466,0.95,0.9534,0.0,0,0.0,0.0,153.81,206.17,0.0,47.8
PRD-00012,Paper Towels 12-Roll,Household Essentials,A,SUP-001,ROAD,False,12.47,56.1,4.6,6,6,1.0,34,42,91,99,0.0712,0.0458,0.95,0.9542,0.0,0,0.0,0.0,70.72,87.36,0.0,35.7
PRD-00013,Rubber Gloves Medium Pair,Household Essentials,A,SUP-006,ROAD,False,10.66,138.6,13.6,17,18,4.9,64,87,203,226,0.0909,0.0483,0.95,0.9517,0.0,0,0.0,0.0,151.52,205.97,0.0,46.9
PRD-00014,Oven Cleaner 300ml,Household Essentials,A,SUP-002,ROAD,False,12.8,115.2,9.3,11,12,4.7,54,73,170,189,0.0922,0.0474,0.95,0.9526,0.0,0,0.0,0.0,100.71,136.15,0.0,48.6
PRD-00015,Drain Unblocker 500ml,Household Essentials,C,SUP-002,ROAD,False,9.44,85.0,9.3,11,12,4.5,41,33,126,118,0.0927,0.1398,0.85,0.8602,19.6,0,19.6,19.6,25.11,20.21,0.0,-50.8
PRD-00016,Moisturising Hand Cream 100ml,Personal Care,B,SUP-005,ROAD,False,9.85,103.5,10.8,13,14,4.2,48,46,152,150,0.0846,0.0917,0.9,0.9083,8.44,0,8.44,8.44,50.64,48.53,0.0,-8.4
PRD-00017,Daily Shampoo 400ml,Personal Care,A,SUP-005,ROAD,False,6.31,66.3,10.8,13,14,4.2,32,42,99,109,0.0855,0.0465,0.95,0.9535,0.0,0,0.0,0.0,112.88,148.16,0.0,45.6
PRD-00018,Conditioner 400ml,Personal Care,A,SUP-002,ROAD,False,5.64,50.8,9.3,11,12,4.8,26,34,77,85,0.0877,0.0456,0.95,0.9544,0.0,0,0.0,0.0,104.91,137.19,0.0,48.0
PRD-00019,Body Lotion 250ml,Personal Care,C,SUP-003,SEA,False,6.82,163.6,26.2,35,41,10.0,92,78,256,242,0.1124,0.1466,0.85,0.8534,34.3,0,34.3,34.3,56.35,47.78,4623.64,-30.4
PRD-00020,Shower Gel 500ml,Personal Care,A,SUP-005,ROAD,False,10.3,108.1,10.8,13,14,4.2,49,65,158,174,0.0925,0.0472,0.95,0.9528,0.0,0,0.0,0.0,97.63,129.51,0.0,49.0
