product_id,product_name,category_name,abc_class,supplier_id,recommended_mode,green_decision_made,avg_daily_demand,mean_demand_during_lt,lt_avg_simulated,lt_p90_days,lt_p95_days,lt_spike_events_pct,safety_stock_current,safety_stock_optimised,rop_current,rop_optimised,stockout_prob_current,stockout_prob_optimised,service_level_target,service_level_achieved,safety_stock_value_current,safety_stock_value_optimised,working_capital_saved_gbp,working_capital_released,annual_holding_cost_curr,annual_holding_cost_opt,carbon_saving_vs_air_kg,stockout_improvement_pct
PRD-00001,Premium Kitchen Roll 6-Pack,Household Essentials,C,SUP-006,ROAD,False,4.58,59.5,13.6,17,18,4.8,30,23,90,83,0.0862,0.1378,0.85,0.8622,34.65,0,34.65,34.65,37.12,28.46,0.0,-59.9
PRD-00002,Aluminium Foil 30m Roll,Household Essentials,C,SUP-006,ROAD,False,6.96,90.5,13.6,17,19,5.1,44,35,135,126,0.0924,0.1381,0.85,0.8619,29.07,0,29.07,29.07,35.53,28.26,0.0,-49.5
PRD-00003,Cling Film 100m,Household Essentials,C,SUP-006,ROAD,False,4.85,63.0,13.6,17,19,5.2,32,24,96,88,0.0845,0.1409,0.85,0.8591,35.12,0,35.12,35.12,35.12,26.34,0.0,-66.7
PRD-00004,Bin Bags 40L 50-Pack,Household Essentials,B,SUP-006,ROAD,False,4.61,59.9,13.6,17,18,4.8,30,30,90,90,0.0887,0.0887,0.9,0.9113,0.0,0,0.0,0.0,93.3,93.3,0.0,0.0
PRD-00005,Washing Up Liquid 500ml,Household Essentials,C,SUP-002,ROAD,False,3.81,34.3,9.4,11,12,4.9,19,14,54,49,0.0767,0.1316,0.85,0.8684,28.05,0,28.05,28.05,26.65,19.64,0.0,-71.6
PRD-00006,Dishwasher Tablets 60-Pack,Household Essentials,C,SUP-006,ROAD,False,2.87,37.3,13.6,17,18,4.9,20,15,58,53,0.0811,0.1346,0.85,0.8654,38.7,0,38.7,38.7,38.7,29.03,0.0,-66.0
PRD-00007,Kitchen Cleaner Spray 750ml,Household Essentials,B,SUP-001,ROAD,False,5.09,22.9,4.6,6,6,0.9,15,14,38,37,0.0716,0.0805,0.9,0.9195,10.44,0,10.44,10.44,39.15,36.54,0.0,-12.4
PRD-00008,Toilet Cleaner 750ml,Household Essentials,C,SUP-008,ROAD,False,6.16,18.5,3.1,4,4,0.4,14,10,33,29,0.0646,0.1135,0.85,0.8865,15.0,0,15.0,15.0,13.12,9.38,0.0,-75.7
PRD-00009,Bathroom Cleaner 500ml,Household Essentials,C,SUP-001,ROAD,False,4.38,19.7,4.6,6,6,1.0,14,10,34,30,0.0603,0.1113,0.85,0.8887,19.32,0,19.32,19.32,16.91,12.07,0.0,-84.6
PRD-00010,Multi-Surface Wipes 80-Pack,Household Essentials,C,SUP-006,ROAD,False,8.36,108.7,13.6,17,18,4.8,51,41,160,150,0.0939,0.1402,0.85,0.8598,26.9,0,26.9,26.9,34.3,27.57,0.0,-49.3
