order_id,DateKey,YearMonth,Year,MonthNumber,product_id,supplier_id,supplier_name,warehouse_id,category_name,abc_class,region,country_of_origin,quantity_ordered,unit_cost_gbp,total_cost_gbp,lead_time_days,transport_mode,weight_kg_total,is_urgent_order,order_status,lead_time_performance
PO-000001,20240121,2024-01,2024,1,PRD-00001,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,288,4.99,1437.12,12,ROAD,705.31,False,DELIVERED,On Time
PO-000002,20240309,2024-03,2024,3,PRD-00001,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,342,5.03,1720.26,15,ROAD,837.56,False,DELIVERED,Slightly Late (<5d)
PO-000003,20240423,2024-04,2024,4,PRD-00001,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,360,5.11,1839.6,13,ROAD,881.64,False,DELIVERED,Slightly Late (<5d)
PO-000004,20240611,2024-06,2024,6,PRD-00001,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,402,4.94,1985.88,12,ROAD,984.5,False,DELIVERED,On Time
PO-000005,20240730,2024-07,2024,7,PRD-00001,SUP-006,MedTrade SRL,WH-003,Household Essentials,B,EUROPEAN,Italy,420,4.94,2074.8,13,ROAD,1028.58,False,DELIVERED,Slightly Late (<5d)
PO-000006,20240913,2024-09,2024,9,PRD-00001,SUP-006,MedTrade SRL,WH-003,Household Essentials,B,EUROPEAN,Italy,384,5.07,1946.88,10,ROAD,940.42,False,DELIVERED,On Time
PO-000007,20241024,2024-10,2024,10,PRD-00001,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,420,5.06,2125.2,13,ROAD,1028.58,False,DELIVERED,Slightly Late (<5d)
PO-000008,20241213,2024-12,2024,12,PRD-00001,SUP-006,MedTrade SRL,WH-003,Household Essentials,B,EUROPEAN,Italy,570,4.84,2758.8,15,ROAD,1395.93,False,DELIVERED,Slightly Late (<5d)
PO-000009,20250130,2025-01,2025,1,PRD-00001,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,288,4.91,1414.08,14,ROAD,705.31,False,DELIVERED,Slightly Late (<5d)
PO-000010,20250321,2025-03,2025,3,PRD-00001,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,342,5.02,1716.84,13,ROAD,837.56,False,DELIVERED,Slightly Late (<5d)
