product_id,supplier_id,abc_class,current_month,n_simulations,avg_daily_demand,mean_demand_during_lt,demand_std_during_lt,demand_p50_during_lt,demand_p95_during_lt,lt_avg_simulated,lt_std_simulated,lt_p50_days,lt_p90_days,lt_p95_days,lt_spike_events_pct,safety_stock_current,safety_stock_optimised,safety_stock_reduction,rop_current,rop_optimised,service_level_target,stockout_prob_current,stockout_prob_optimised,service_level_achieved,eoq,recommended_order_qty,moq,unit_cost_gbp,working_capital_released,annual_holding_cost_curr,annual_holding_cost_opt
PRD-00001,SUP-006,B,11,10000,11.44,148.7,41.2,159,242,13.6,2.9,13,17,18,4.8,68,68,0,217,217,0.9,0.0953,0.0953,0.9047,1006,1008,6,4.95,0.0,84.15,84.15
PRD-00002,SUP-006,C,11,10000,6.96,90.5,26.7,97,151,13.6,2.9,13,17,19,5.1,45,34,11,136,125,0.85,0.0873,0.1416,0.8584,971,984,24,3.23,35.53,36.34,27.45
PRD-00003,SUP-006,B,11,10000,12.12,157.5,42.8,168,254,13.5,2.8,13,17,18,4.6,71,70,1,229,228,0.9,0.0924,0.0953,0.9047,1099,1100,100,4.39,4.39,77.92,76.82
PRD-00004,SUP-006,A,11,10000,8.3,107.9,30.0,115,174,13.5,2.8,13,17,18,4.4,50,67,0,158,175,0.95,0.0909,0.0475,0.9525,540,600,100,12.44,0.0,155.5,208.37
PRD-00005,SUP-002,B,11,10000,9.52,85.7,25.0,91,141,9.3,1.9,9,11,12,4.8,42,41,1,128,127,0.9,0.0911,0.0955,0.9045,862,864,6,5.61,5.61,58.91,57.5
PRD-00006,SUP-006,B,11,10000,7.18,93.4,26.5,99,153,13.5,2.9,13,17,18,4.7,44,43,1,138,137,0.9,0.0899,0.0944,0.9056,637,648,12,7.74,7.74,85.14,83.2
PRD-00007,SUP-001,A,11,10000,9.16,41.2,15.0,42,72,4.6,1.1,5,6,6,0.9,25,31,0,67,73,0.95,0.0736,0.0461,0.9539,620,700,100,10.44,0.0,65.25,80.91
PRD-00008,SUP-008,C,11,10000,6.16,18.5,8.3,19,35,3.0,0.8,3,4,4,0.4,14,9,5,33,28,0.85,0.0606,0.1266,0.8734,848,900,100,3.75,18.75,13.12,8.44
PRD-00009,SUP-001,B,11,10000,10.96,49.3,17.5,51,86,4.6,1.1,5,6,6,1.0,29,26,3,79,76,0.9,0.0772,0.0916,0.9084,996,1000,100,4.83,14.49,35.02,31.39
PRD-00010,SUP-006,C,11,10000,8.36,108.7,31.1,116,178,13.6,2.9,13,17,19,5.1,52,40,12,161,149,0.85,0.0917,0.1415,0.8585,1166,1200,48,2.69,32.28,34.97,26.9
PRD-00011,SUP-006,A,11,10000,7.53,97.9,28.0,105,160,13.6,2.9,13,17,18,4.8,47,63,0,145,161,0.95,0.0893,0.0466,0.9534,502,600,100,13.09,0.0,153.81,206.17
PRD-00012,SUP-001,A,11,10000,12.47,56.1,20.0,59,98,4.6,1.1,5,6,6,1.0,34,42,0,91,99,0.95,0.0712,0.0458,0.9542,810,900,100,8.32,0.0,70.72,87.36
PRD-00013,SUP-006,A,11,10000,10.66,138.6,38.5,148,225,13.6,2.9,13,17,18,4.9,64,87,0,203,226,0.95,0.0909,0.0483,0.9517,702,720,48,9.47,0.0,151.52,205.97
PRD-00014,SUP-002,A,11,10000,12.8,115.2,32.5,122,188,9.3,1.9,9,11,12,4.7,54,73,0,170,189,0.95,0.0922,0.0474,0.9526,867,900,100,7.46,0.0,100.71,136.15
PRD-00015,SUP-002,C,11,10000,9.44,85.0,24.6,90,141,9.3,1.9,9,11,12,4.5,41,33,8,126,118,0.85,0.0927,0.1398,0.8602,1299,1344,48,2.45,19.6,25.11,20.21
PRD-00016,SUP-005,B,11,10000,9.85,103.5,28.6,110,165,10.8,2.2,11,13,14,4.2,48,46,2,152,150,0.9,0.0846,0.0917,0.9083,1011,1020,12,4.22,8.44,50.64,48.53
PRD-00017,SUP-005,A,11,10000,6.31,66.3,19.0,70,108,10.8,2.1,11,13,14,4.2,32,42,0,99,109,0.95,0.0855,0.0465,0.9535,442,444,6,14.11,0.0,112.88,148.16
PRD-00018,SUP-002,A,11,10000,5.64,50.8,15.4,54,84,9.3,1.9,9,11,12,4.8,26,34,0,77,85,0.95,0.0877,0.0456,0.9544,391,400,100,16.14,0.0,104.91,137.19
PRD-00019,SUP-003,C,11,10000,6.82,163.6,55.3,178,302,26.2,7.0,25,35,41,10.0,92,78,14,256,242,0.85,0.1124,0.1466,0.8534,1104,1110,6,2.45,34.3,56.35,47.78
PRD-00020,SUP-005,A,11,10000,10.3,108.1,29.6,114,173,10.8,2.1,11,13,14,4.2,49,65,0,158,174,0.95,0.0925,0.0472,0.9528,752,756,6,7.97,0.0,97.63,129.51
PRD-00021,SUP-005,A,11,10000,7.69,80.7,22.6,85,130,10.8,2.1,11,13,14,4.2,38,50,0,119,131,0.95,0.0855,0.0456,0.9544,581,600,24,9.96,0.0,94.62,124.5
PRD-00022,SUP-002,C,11,10000,5.58,50.2,15.4,53,83,9.3,1.9,9,11,12,4.4,26,19,7,77,70,0.85,0.0803,0.137,0.863,958,960,6,2.66,18.62,17.29,12.64
PRD-00023,SUP-005,B,11,10000,9.04,94.9,26.3,100,152,10.8,2.2,11,13,14,4.5,44,43,1,139,138,0.9,0.0868,0.0914,0.9086,966,1008,48,4.24,4.24,46.64,45.58
