Company,Reporting Standard,Scope Category,Reporting Period,Supplier Name,Supplier Country,Supplier Region,Transport Mode,Shipment Count,Total Weight (kg),Total Distance (km),Total Units Shipped,Emission Factor (kg CO2e/t/km),Total Carbon (kg CO2e),Total Carbon (tonnes CO2e),Carbon per Unit (kg CO2e),DEFRA Source,Report Generated,Methodology
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-01,USBrands Inc,United States,INTERCONTINENTAL,AIR,5,464.72,27500.0,558,0.602,1538.69,1.5387,2.801741,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-01,MedTrade SRL,Italy,EUROPEAN,ROAD,10,3337.6,18000.0,2334,0.1,600.77,0.6008,0.236971,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-01,EuroFast GmbH,Germany,EUROPEAN,ROAD,8,1832.68,8800.0,1878,0.1,201.59,0.2016,0.112008,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-01,NordicSupply AS,Sweden,EUROPEAN,ROAD,6,908.31,8400.0,1044,0.1,127.16,0.1272,0.113119,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-01,AsiaSource Co,China,INTERCONTINENTAL,SEA,2,137.76,39000.0,480,0.016,42.98,0.043,0.089546,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-01,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,4,1707.35,1000.0,896,0.1,42.68,0.0427,0.049844,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-01,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,5,1259.56,1250.0,1060,0.1,31.49,0.0315,0.03269,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-01,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,67.63,22000.0,144,0.016,11.9,0.0119,0.098468,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-02,USBrands Inc,United States,INTERCONTINENTAL,AIR,4,338.51,22000.0,348,0.602,1120.81,1.1208,3.111478,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-02,MedTrade SRL,Italy,EUROPEAN,ROAD,9,2189.13,16200.0,1520,0.1,394.04,0.394,0.238501,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-02,NordicSupply AS,Sweden,EUROPEAN,ROAD,6,1580.73,8400.0,1488,0.1,221.3,0.2213,0.129757,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-02,EuroFast GmbH,Germany,EUROPEAN,ROAD,6,925.02,6600.0,1224,0.1,101.75,0.1018,0.076725,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-02,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,286.77,58500.0,588,0.016,89.47,0.0895,0.143419,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-02,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,5,1614.25,1250.0,996,0.1,40.36,0.0404,0.041895,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-02,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,1,614.02,250.0,192,0.1,15.35,0.0154,0.079951,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-02,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,1,39.79,11000.0,48,0.016,7.0,0.007,0.145896,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-02,NordicSupply AS,Sweden,EUROPEAN,SEA,1,24.97,250.0,114,0.016,0.1,0.0001,0.000876,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-03,MedTrade SRL,Italy,EUROPEAN,ROAD,10,2776.6,18000.0,1968,0.1,499.79,0.4998,0.243414,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-03,USBrands Inc,United States,INTERCONTINENTAL,AIR,2,91.51,11000.0,108,0.602,302.99,0.303,2.76296,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-03,EuroFast GmbH,Germany,EUROPEAN,ROAD,6,1493.07,6600.0,1246,0.1,164.24,0.1642,0.116361,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-03,NordicSupply AS,Sweden,EUROPEAN,ROAD,7,1114.85,9800.0,1290,0.1,156.08,0.1561,0.109979,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-03,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,4,1913.65,1000.0,1040,0.1,47.84,0.0478,0.049844,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-03,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,7,1755.61,1750.0,1544,0.1,43.89,0.0439,0.029725,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-03,AsiaSource Co,China,INTERCONTINENTAL,SEA,2,67.26,39000.0,228,0.016,20.99,0.021,0.09204,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-03,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,1,13.92,11000.0,48,0.016,2.45,0.0024,0.05104,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-04,MedTrade SRL,Italy,EUROPEAN,ROAD,11,3978.83,19800.0,2766,0.1,716.19,0.7162,0.243393,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-04,USBrands Inc,United States,INTERCONTINENTAL,AIR,2,115.11,11000.0,148,0.602,381.13,0.3811,2.524568,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
