product_id,supplier_id,is_primary
PRD-00001,SUP-006,True
PRD-00002,SUP-006,True
PRD-00003,SUP-006,True
PRD-00004,SUP-006,True
PRD-00004,SUP-002,False
PRD-00005,SUP-002,True
PRD-00006,SUP-006,True
PRD-00007,SUP-001,True
PRD-00008,SUP-008,True
PRD-00009,SUP-001,True
PRD-00010,SUP-006,True
PRD-00011,SUP-006,True
PRD-00012,SUP-001,True
PRD-00013,SUP-006,True
PRD-00014,SUP-002,True
PRD-00015,SUP-002,True
PRD-00016,SUP-005,True
PRD-00017,SUP-005,True
PRD-00018,SUP-002,True
PRD-00019,SUP-003,True
PRD-00019,SUP-005,False
PRD-00020,SUP-005,True
PRD-00021,SUP-005,True
PRD-00021,SUP-003,False
PRD-00022,SUP-002,True
PRD-00023,SUP-005,True
PRD-00024,SUP-005,True
PRD-00025,SUP-003,True
PRD-00026,SUP-002,True
PRD-00027,SUP-003,True
PRD-00028,SUP-005,True
PRD-00029,SUP-002,True
PRD-00030,SUP-001,True
PRD-00031,SUP-005,True
PRD-00032,SUP-005,True
PRD-00032,SUP-001,False
PRD-00033,SUP-001,True
PRD-00033,SUP-006,False
PRD-00034,SUP-006,True
PRD-00034,SUP-001,False
PRD-00035,SUP-006,True
PRD-00036,SUP-002,True
PRD-00036,SUP-001,False
PRD-00037,SUP-006,True
PRD-00038,SUP-007,True
PRD-00039,SUP-007,True
PRD-00039,SUP-004,False
PRD-00040,SUP-006,True
PRD-00041,SUP-004,True
PRD-00042,SUP-006,True
PRD-00043,SUP-007,True
PRD-00043,SUP-006,False
PRD-00044,SUP-004,True
PRD-00045,SUP-007,True
PRD-00046,SUP-008,True
PRD-00047,SUP-002,True
PRD-00048,SUP-008,True
PRD-00048,SUP-001,False
PRD-00049,SUP-008,True
PRD-00050,SUP-001,True
