order_id,product_id,supplier_id,warehouse_id,quantity_ordered,unit_cost_gbp,total_cost_gbp,order_date,expected_delivery_date,actual_delivery_date,lead_time_days,transport_mode,weight_kg_total,is_urgent_order,order_status,supplier_name,country_of_origin,region,product_name,category_code,abc_class,unit_price_gbp,gross_margin_pct,origin_country,distance_km,emission_factor,weight_tonnes,carbon_kg_co2e,carbon_tonnes_co2e,carbon_per_unit_kg,reporting_period,scope_category,report_standard,defra_source,air_emission_factor,carbon_if_air_kg_co2e,carbon_saved_vs_air_kg
PO-000001,PRD-00001,SUP-006,WH-001,288,4.99,1437.12,2024-01-21,2024-02-02,2024-02-01,12,ROAD,705.31,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,0.70531,126.9558,0.126956,0.440819,2024-02,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,764.2739,637.3181
PO-000002,PRD-00001,SUP-006,WH-002,342,5.03,1720.26,2024-03-09,2024-03-24,2024-03-25,15,ROAD,837.56,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,0.83756,150.7608,0.150761,0.440821,2024-03,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,907.58,756.8192
PO-000003,PRD-00001,SUP-006,WH-002,360,5.11,1839.6,2024-04-23,2024-05-06,2024-05-08,13,ROAD,881.64,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,0.88164,158.6952,0.158695,0.44082,2024-05,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,955.3451,796.6499
PO-000004,PRD-00001,SUP-006,WH-001,402,4.94,1985.88,2024-06-11,2024-06-23,2024-06-23,12,ROAD,984.5,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,0.9845,177.21,0.17721,0.440821,2024-06,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,1066.8042,889.5942
PO-000005,PRD-00001,SUP-006,WH-003,420,4.94,2074.8,2024-07-30,2024-08-12,2024-08-14,13,ROAD,1028.58,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,1.0285799999999998,185.1444,0.185144,0.44082,2024-08,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,1114.5693,929.4249
PO-000006,PRD-00001,SUP-006,WH-003,384,5.07,1946.88,2024-09-13,2024-09-23,2024-09-23,10,ROAD,940.42,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,0.9404199999999999,169.2756,0.169276,0.440822,2024-09,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,1019.0391,849.7635
PO-000007,PRD-00001,SUP-006,WH-001,420,5.06,2125.2,2024-10-24,2024-11-06,2024-11-05,13,ROAD,1028.58,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,1.0285799999999998,185.1444,0.185144,0.44082,2024-11,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,1114.5693,929.4249
PO-000008,PRD-00001,SUP-006,WH-003,570,4.84,2758.8,2024-12-13,2024-12-28,2024-12-27,15,ROAD,1395.93,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,1.3959300000000001,251.2674,0.251267,0.44082,2024-12,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,1512.6297,1261.3623
PO-000009,PRD-00001,SUP-006,WH-002,288,4.91,1414.08,2025-01-30,2025-02-13,2025-02-12,14,ROAD,705.31,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,0.70531,126.9558,0.126956,0.440819,2025-02,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,764.2739,637.3181
PO-000010,PRD-00001,SUP-006,WH-001,342,5.02,1716.84,2025-03-21,2025-04-03,2025-04-02,13,ROAD,837.56,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,0.83756,150.7608,0.150761,0.440821,2025-04,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,907.58,756.8192
