reporting_period,shipment_count,total_units_shipped,total_weight_tonnes,total_carbon_kg_co2e,total_carbon_tonnes_co2e,carbon_saved_vs_air_kg,total_spend_gbp,road_shipments,sea_shipments,air_shipments,rail_shipments,carbon_intensity_kg_per_unit,carbon_intensity_kg_per_gbp,pct_air_shipments,carbon_saved_vs_air_tonnes
2024-01,30,5534,7.45271,1114.59,1.1146,5889.1461,37988.68,25,3,2,0,0.2014,0.02934,6.7,5.8891
2024-02,38,6870,7.81624,2088.33,2.0883,4395.9109,51166.38,31,2,5,0,0.304,0.040815,13.2,4.3959
2024-03,41,7522,9.539719999999999,2012.8,2.0128,6799.4762,60024.48,32,5,4,0,0.2676,0.033533,9.8,6.7995
2024-04,40,8890,9.63626,1653.0,1.653,9419.0833,61378.38,32,6,2,0,0.1859,0.026931,5.0,9.4191
2024-05,41,8438,10.72677,2386.76,2.3868,6330.3205,72204.48,32,3,6,0,0.2829,0.033056,14.6,6.3303
2024-06,44,10696,13.3089,3125.43,3.1254,12469.6199,77434.6,32,7,5,0,0.2922,0.040362,11.4,12.4696
2024-07,41,9668,11.50086,2440.56,2.4406,7093.1352,79120.4,33,3,4,1,0.2524,0.030846,9.8,7.0931
2024-08,43,10964,12.14114,2695.08,2.6951,12257.5956,79132.26,32,7,4,0,0.2458,0.034058,9.3,12.2576
2024-09,43,9510,12.34708,2465.77,2.4658,8411.5301,75811.1,34,6,3,0,0.2593,0.032525,7.0,8.4115
2024-10,46,11050,12.58474,3151.8,3.1518,9744.7204,87878.46,35,5,6,0,0.2852,0.035865,13.0,9.7447
2024-11,34,9160,12.18939,2020.31,2.0203,7566.6359999999995,74838.86,28,4,2,0,0.2206,0.026995,5.9,7.5666
2024-12,48,16264,18.98254,3391.32,3.3913,16918.5519,118181.3,38,7,3,0,0.2085,0.028696,6.2,16.9186
2025-01,42,8394,9.71561,2597.27,2.5973,7048.695,65315.64,33,4,5,0,0.3094,0.039765,11.9,7.0487
2025-02,36,6518,7.61319,1990.19,1.9902,7416.5441,49723.74,27,5,4,0,0.3053,0.040025,11.1,7.4165
2025-03,39,7472,9.226469999999999,1238.26,1.2383,5435.726,59021.0,34,3,2,0,0.1657,0.02098,5.1,5.4357
2025-04,44,9548,11.36623,1741.74,1.7417,11132.5695,67738.08,33,9,2,0,0.1824,0.025713,4.5,11.1326
2025-05,44,9732,10.91577,2388.81,2.3888,8449.8904,74740.9,35,5,4,0,0.2455,0.031961,9.1,8.4499
2025-06,37,8370,10.79869,2316.8,2.3168,9333.1042,68099.28,27,5,4,1,0.2768,0.034021,10.8,9.3331
2025-07,48,11582,14.46833,2508.25,2.5083,10006.2711,90715.58,38,7,3,0,0.2166,0.02765,6.2,10.0063
2025-08,40,10626,12.07525,1896.64,1.8966,11490.3572,75400.52,32,7,1,0,0.1785,0.025154,2.5,11.4904
2025-09,35,7438,9.1641,2658.42,2.6584,7016.078,61812.56,24,6,5,0,0.3574,0.043008,14.3,7.0161
2025-10,47,11564,14.33082,3709.45,3.7094,10931.8181,86294.58,36,4,6,1,0.3208,0.042986,12.8,10.9318
2025-11,43,12032,13.13285,2710.19,2.7102,9203.2917,93321.12,33,6,4,0,0.2252,0.029042,9.3,9.2033
2025-12,36,12022,16.25437,2467.32,2.4673,14903.595099999999,89856.3,29,6,1,0,0.2052,0.027459,2.8,14.9036
