product_id,product_name,category_code,category_name,unit_cost_gbp,unit_price_gbp,gross_margin_pct,weight_kg,min_order_qty,shelf_life_days,is_active,abc_class,service_level_target
PRD-00001,Premium Kitchen Roll 6-Pack,HHE,Household Essentials,4.95,5.9,16.1,2.449,6,,True,B,0.9
PRD-00002,Aluminium Foil 30m Roll,HHE,Household Essentials,3.23,3.88,16.8,2.473,24,,True,C,0.85
PRD-00003,Cling Film 100m,HHE,Household Essentials,4.39,5.57,21.1,1.528,100,,True,B,0.9
PRD-00004,Bin Bags 40L 50-Pack,HHE,Household Essentials,12.44,14.64,15.0,1.174,100,,True,A,0.95
PRD-00005,Washing Up Liquid 500ml,HHE,Household Essentials,5.61,7.09,20.9,0.406,6,,True,B,0.9
PRD-00006,Dishwasher Tablets 60-Pack,HHE,Household Essentials,7.74,9.4,17.6,1.1,12,,True,B,0.9
PRD-00007,Kitchen Cleaner Spray 750ml,HHE,Household Essentials,10.44,13.26,21.2,0.367,100,,True,A,0.95
PRD-00008,Toilet Cleaner 750ml,HHE,Household Essentials,3.75,4.38,14.3,1.714,100,,True,C,0.85
PRD-00009,Bathroom Cleaner 500ml,HHE,Household Essentials,4.83,6.16,21.7,0.628,100,,True,B,0.9
PRD-00010,Multi-Surface Wipes 80-Pack,HHE,Household Essentials,2.69,3.23,16.7,1.802,48,,True,C,0.85
PRD-00011,Sponge Scourers 10-Pack,HHE,Household Essentials,13.09,16.13,18.8,1.445,100,,True,A,0.95
PRD-00012,Paper Towels 12-Roll,HHE,Household Essentials,8.32,9.74,14.6,1.418,100,,True,A,0.95
PRD-00013,Rubber Gloves Medium Pair,HHE,Household Essentials,9.47,11.4,16.9,0.756,48,,True,A,0.95
PRD-00014,Oven Cleaner 300ml,HHE,Household Essentials,7.46,9.49,21.4,0.986,100,,True,A,0.95
PRD-00015,Drain Unblocker 500ml,HHE,Household Essentials,2.45,2.86,14.5,0.764,48,,True,C,0.85
PRD-00016,Moisturising Hand Cream 100ml,PCA,Personal Care,4.22,6.85,38.4,0.62,12,730.0,True,B,0.9
PRD-00017,Daily Shampoo 400ml,PCA,Personal Care,14.11,19.24,26.7,0.219,6,730.0,True,A,0.95
PRD-00018,Conditioner 400ml,PCA,Personal Care,16.14,21.54,25.0,0.42,100,730.0,True,A,0.95
PRD-00019,Body Lotion 250ml,PCA,Personal Care,2.45,3.96,38.0,0.797,6,730.0,True,C,0.85
PRD-00020,Shower Gel 500ml,PCA,Personal Care,7.97,11.8,32.4,0.563,6,730.0,True,A,0.95
PRD-00021,Deodorant Roll-On 50ml,PCA,Personal Care,9.96,15.8,37.0,0.511,24,730.0,True,A,0.95
PRD-00022,Facial Cleanser 150ml,PCA,Personal Care,2.66,4.84,44.9,0.546,6,730.0,True,C,0.85
PRD-00023,Lip Balm SPF15,PCA,Personal Care,4.24,7.47,43.2,0.218,48,730.0,True,B,0.9
PRD-00024,Hand Sanitiser 500ml,PCA,Personal Care,6.1,9.48,35.7,0.358,6,730.0,True,B,0.9
PRD-00025,Toothpaste Whitening 100ml,PCA,Personal Care,8.26,12.59,34.4,0.287,48,730.0,True,A,0.95
PRD-00026,Mouthwash Fresh Mint 500ml,PCA,Personal Care,11.96,16.41,27.1,0.216,24,730.0,True,A,0.95
PRD-00027,Cotton Buds 200-Pack,PCA,Personal Care,11.14,18.57,40.0,0.295,12,730.0,True,A,0.95
PRD-00028,Premium Ground Coffee 250g,FBV,Food and Beverage,7.74,10.48,26.1,1.848,48,365.0,True,A,0.95
PRD-00029,English Breakfast Tea 80-Pack,FBV,Food and Beverage,3.7,4.48,17.5,0.618,24,365.0,True,C,0.85
PRD-00030,Instant Hot Chocolate 400g,FBV,Food and Beverage,7.31,10.13,27.8,0.368,24,365.0,True,A,0.95
PRD-00031,Organic Honey 340g,FBV,Food and Beverage,5.48,7.77,29.5,1.489,24,365.0,True,B,0.9
PRD-00032,Extra Virgin Olive Oil 500ml,FBV,Food and Beverage,1.6,2.11,24.0,1.954,48,365.0,True,C,0.85
PRD-00033,Apple Cider Vinegar 500ml,FBV,Food and Beverage,8.5,11.21,24.2,1.803,100,365.0,True,A,0.95
PRD-00034,Protein Granola 500g,FBV,Food and Beverage,2.58,3.63,29.0,0.747,6,365.0,True,C,0.85
PRD-00035,Mixed Nuts 200g,FBV,Food and Beverage,8.86,11.29,21.5,0.783,24,365.0,True,A,0.95
PRD-00036,Herbal Tea Variety 40-Pack,FBV,Food and Beverage,6.22,8.24,24.6,1.393,6,365.0,True,B,0.9
PRD-00037,Sparkling Water 12x500ml,FBV,Food and Beverage,6.06,7.77,22.0,1.853,100,365.0,True,B,0.9
PRD-00038,Luxury Bath Gift Set,SGF,Seasonal and Gifting,18.94,33.52,43.5,1.117,100,,True,A,0.95
PRD-00039,Premium Scented Candle Set,SGF,Seasonal and Gifting,27.49,43.03,36.1,0.719,24,,True,A,0.95
PRD-00040,Artisan Chocolate Selection Box,SGF,Seasonal and Gifting,6.36,13.73,53.7,1.105,24,,True,A,0.95
PRD-00041,Spa Pamper Set,SGF,Seasonal and Gifting,18.03,33.78,46.6,0.29,48,,True,A,0.95
PRD-00042,Aromatherapy Diffuser Kit,SGF,Seasonal and Gifting,20.34,43.03,52.7,1.306,12,,True,A,0.95
PRD-00043,Premium Notebook and Pen Set,SGF,Seasonal and Gifting,10.0,17.18,41.8,0.806,100,,True,A,0.95
PRD-00044,Personalised Mug Gift Box,SGF,Seasonal and Gifting,27.26,44.49,38.7,0.829,24,,True,A,0.95
PRD-00045,Festive Reed Diffuser,SGF,Seasonal and Gifting,18.15,36.84,50.7,0.95,6,,True,A,0.95
PRD-00046,Professional Floor Cleaner 5L,CLN,Cleaning Products,6.57,7.9,16.8,1.828,24,,True,B,0.9
PRD-00047,Industrial Degreaser 2L,CLN,Cleaning Products,3.65,4.19,12.9,3.561,24,,True,C,0.85
PRD-00048,Antibacterial Surface Spray 1L,CLN,Cleaning Products,4.87,5.55,12.3,1.235,48,,True,B,0.9
PRD-00049,Laundry Detergent 2.5kg,CLN,Cleaning Products,10.59,12.02,11.9,3.198,48,,True,A,0.95
PRD-00050,Fabric Softener 1.5L,CLN,Cleaning Products,9.95,11.92,16.5,3.372,6,,True,A,0.95
