snapshot_date,product_id,warehouse_id,stock_on_hand,stock_cover_days,avg_daily_demand,is_stock_out,is_slow_mover,is_at_risk,stock_value_gbp,abc_class
2024-01-01,PRD-00001,WH-003,508,79.9,6.36,False,False,False,2514.6,B
2024-01-01,PRD-00002,WH-003,309,79.9,3.87,False,False,False,998.07,C
2024-01-01,PRD-00003,WH-002,538,79.9,6.73,False,False,False,2361.82,B
2024-01-01,PRD-00004,WH-002,368,79.8,4.61,False,False,False,4577.92,A
2024-01-01,PRD-00005,WH-002,423,80.0,5.29,False,False,False,2373.03,B
2024-01-01,PRD-00006,WH-002,319,80.0,3.99,False,False,False,2469.06,B
2024-01-01,PRD-00007,WH-002,407,80.0,5.09,False,False,False,4249.08,A
2024-01-01,PRD-00008,WH-003,273,79.7,3.42,False,False,False,1023.75,C
2024-01-01,PRD-00009,WH-001,487,80.0,6.09,False,False,False,2352.21,B
2024-01-01,PRD-00010,WH-002,371,79.9,4.64,False,False,False,997.99,C
2024-01-01,PRD-00011,WH-001,334,79.8,4.18,False,False,False,4372.06,A
2024-01-01,PRD-00012,WH-002,554,79.9,6.93,False,False,False,4609.28,A
2024-01-01,PRD-00013,WH-001,473,79.9,5.92,False,False,False,4479.31,A
2024-01-01,PRD-00014,WH-001,569,80.0,7.11,False,False,False,4244.74,A
2024-01-01,PRD-00015,WH-002,419,79.9,5.24,False,False,False,1026.55,C
2024-01-01,PRD-00016,WH-001,437,79.8,5.47,False,False,False,1844.14,B
2024-01-01,PRD-00017,WH-001,280,79.8,3.51,False,False,False,3950.8,A
2024-01-01,PRD-00018,WH-001,250,79.8,3.13,False,False,False,4035.0,A
2024-01-01,PRD-00019,WH-001,303,80.0,3.79,False,False,False,742.35,C
2024-01-01,PRD-00020,WH-003,457,79.9,5.72,False,False,False,3642.29,A
2024-01-01,PRD-00021,WH-003,341,79.8,4.27,False,False,False,3396.36,A
2024-01-01,PRD-00022,WH-001,247,79.7,3.1,False,False,False,657.02,C
2024-01-01,PRD-00023,WH-002,401,79.9,5.02,False,False,False,1700.24,B
2024-01-01,PRD-00024,WH-001,316,79.9,3.96,False,False,False,1927.6,B
2024-01-01,PRD-00025,WH-001,428,79.8,5.36,False,False,False,3535.28,A
2024-01-01,PRD-00026,WH-001,329,80.0,4.11,False,False,False,3934.84,A
2024-01-01,PRD-00027,WH-001,290,79.8,3.63,False,False,False,3230.6,A
2024-01-01,PRD-00028,WH-003,515,80.0,6.44,False,False,False,3986.1,A
2024-01-01,PRD-00029,WH-002,267,79.7,3.35,False,False,False,987.9,C
2024-01-01,PRD-00030,WH-001,533,80.0,6.66,False,False,False,3896.23,A
2024-01-01,PRD-00031,WH-001,386,80.0,4.83,False,False,False,2115.28,B
2024-01-01,PRD-00032,WH-003,568,79.9,7.11,False,False,False,908.8,C
2024-01-01,PRD-00033,WH-002,481,79.9,6.02,False,False,False,4088.5,A
2024-01-01,PRD-00034,WH-003,330,79.9,4.13,False,False,False,851.4,C
2024-01-01,PRD-00035,WH-001,478,79.9,5.98,False,False,False,4235.08,A
2024-01-01,PRD-00036,WH-003,364,80.0,4.55,False,False,False,2264.08,B
2024-01-01,PRD-00037,WH-001,386,80.0,4.83,False,False,False,2339.16,B
2024-01-01,PRD-00038,WH-002,161,80.0,2.01,False,False,False,3049.34,A
2024-01-01,PRD-00039,WH-003,125,79.7,1.57,False,False,False,3436.25,A
2024-01-01,PRD-00040,WH-003,393,79.9,4.92,False,False,False,2499.48,A
2024-01-01,PRD-00041,WH-001,159,79.6,2.0,False,False,False,2866.77,A
2024-01-01,PRD-00042,WH-001,125,79.7,1.57,False,False,False,2542.5,A
2024-01-01,PRD-00043,WH-003,314,79.9,3.93,False,False,False,3140.0,A
2024-01-01,PRD-00044,WH-003,121,79.8,1.52,False,False,False,3298.46,A
2024-01-01,PRD-00045,WH-002,146,79.7,1.83,False,False,False,2649.9,A
2024-01-01,PRD-00046,WH-003,379,79.8,4.75,False,False,False,2490.03,B
