order_id,product_id,supplier_id,warehouse_id,quantity_ordered,unit_cost_gbp,total_cost_gbp,order_date,expected_delivery_date,actual_delivery_date,lead_time_days,transport_mode,weight_kg_total,is_urgent_order,order_status
PO-000001,PRD-00001,SUP-006,WH-001,150,4.99,748.5,2024-01-21,2024-02-02,2024-02-01,12,ROAD,367.35,False,DELIVERED
PO-000002,PRD-00001,SUP-006,WH-002,180,5.03,905.4,2024-03-24,2024-04-08,2024-04-09,15,ROAD,440.82,False,DELIVERED
PO-000003,PRD-00001,SUP-006,WH-002,204,5.11,1042.44,2024-05-23,2024-06-05,2024-06-07,13,ROAD,499.6,False,DELIVERED
PO-000004,PRD-00001,SUP-006,WH-001,222,4.94,1096.68,2024-07-26,2024-08-07,2024-08-07,12,ROAD,543.68,False,DELIVERED
PO-000005,PRD-00001,SUP-006,WH-003,204,4.94,1007.76,2024-09-28,2024-10-11,2024-10-13,13,ROAD,499.6,False,DELIVERED
PO-000006,PRD-00001,SUP-006,WH-003,276,5.07,1399.32,2024-11-27,2024-12-07,2024-12-07,10,ROAD,675.92,False,DELIVERED
PO-000007,PRD-00001,SUP-006,WH-001,150,5.06,759.0,2025-01-22,2025-02-04,2025-02-03,13,ROAD,367.35,False,DELIVERED
PO-000008,PRD-00001,SUP-006,WH-003,180,4.84,871.2,2025-03-28,2025-04-12,2025-04-11,15,ROAD,440.82,False,DELIVERED
PO-000009,PRD-00001,SUP-006,WH-002,204,4.91,1001.64,2025-05-30,2025-06-13,2025-06-12,14,ROAD,499.6,False,DELIVERED
PO-000010,PRD-00001,SUP-006,WH-001,216,5.02,1084.32,2025-08-03,2025-08-16,2025-08-15,13,ROAD,528.98,False,DELIVERED
PO-000011,PRD-00001,SUP-006,WH-001,222,4.87,1081.14,2025-10-07,2025-10-18,2025-10-21,11,ROAD,543.68,False,DELIVERED
PO-000012,PRD-00001,SUP-006,WH-002,306,4.93,1508.58,2025-12-03,2025-12-16,2025-12-16,13,ROAD,749.39,False,DELIVERED
PO-000013,PRD-00002,SUP-006,WH-002,240,3.26,782.4,2024-01-14,2024-01-26,2024-01-25,12,ROAD,593.52,False,DELIVERED
PO-000014,PRD-00002,SUP-006,WH-002,288,3.27,941.76,2024-03-13,2024-03-25,2024-03-25,12,ROAD,712.22,False,DELIVERED
PO-000015,PRD-00002,SUP-006,WH-002,312,3.19,995.28,2024-05-14,2024-05-28,2024-05-30,14,ROAD,771.58,False,DELIVERED
PO-000016,PRD-00002,SUP-006,WH-002,336,3.26,1095.36,2024-07-15,2024-07-27,2024-07-30,12,ROAD,830.93,False,DELIVERED
PO-000017,PRD-00002,SUP-006,WH-002,312,3.25,1014.0,2024-09-15,2024-09-28,2024-10-01,13,ROAD,771.58,False,DELIVERED
PO-000018,PRD-00002,SUP-006,WH-001,408,3.34,1362.72,2024-11-10,2024-11-26,2024-11-26,16,ROAD,1008.98,False,DELIVERED
PO-000019,PRD-00002,SUP-006,WH-002,240,3.24,777.6,2025-01-05,2025-01-15,2025-01-16,10,ROAD,593.52,False,DELIVERED
PO-000020,PRD-00002,SUP-006,WH-001,288,3.17,912.96,2025-03-09,2025-03-21,2025-03-21,12,ROAD,712.22,False,DELIVERED
PO-000021,PRD-00002,SUP-006,WH-003,312,3.1,967.2,2025-05-08,2025-05-18,2025-05-19,10,ROAD,771.58,False,DELIVERED
