reporting_period,product_id,product_name,category_code,abc_class,transport_mode,shipment_count,total_units_shipped,total_carbon_kg_co2e,total_carbon_tonnes,avg_carbon_per_unit_kg
2024-01,PRD-00043,Premium Notebook and Pen Set,SGF,A,AIR,1,100,266.87,0.266867,2.668666
2024-01,PRD-00039,Premium Scented Candle Set,SGF,A,AIR,1,48,114.26,0.114263,2.380471
2024-01,PRD-00002,Aluminium Foil 30m Roll,HHE,C,ROAD,1,240,106.83,0.106834,0.44514
2024-01,PRD-00047,Industrial Degreaser 2L,CLN,C,ROAD,1,216,84.61,0.08461,0.391712
2024-01,PRD-00003,Cling Film 100m,HHE,B,ROAD,1,300,82.51,0.082512,0.27504
2024-01,PRD-00037,Sparkling Water 12x500ml,FBV,B,ROAD,1,200,66.71,0.066708,0.33354
2024-01,PRD-00019,Body Lotion 250ml,PCA,C,SEA,1,228,56.7,0.056697,0.248669
2024-01,PRD-00028,Premium Ground Coffee 250g,FBV,A,ROAD,1,192,49.67,0.049675,0.258723
2024-01,PRD-00006,Dishwasher Tablets 60-Pack,HHE,B,ROAD,1,180,35.64,0.03564,0.198
2024-01,PRD-00036,Herbal Tea Variety 40-Pack,FBV,B,ROAD,1,204,31.26,0.031259,0.153229
2024-01,PRD-00040,Artisan Chocolate Selection Box,SGF,A,ROAD,1,144,28.64,0.028642,0.1989
2024-01,PRD-00035,Mixed Nuts 200g,FBV,A,ROAD,1,168,23.68,0.023677,0.140936
2024-01,PRD-00004,Bin Bags 40L 50-Pack,HHE,A,ROAD,1,100,21.13,0.021132,0.21132
2024-01,PRD-00016,Moisturising Hand Cream 100ml,PCA,B,ROAD,1,240,20.83,0.020832,0.0868
2024-01,PRD-00049,Laundry Detergent 2.5kg,CLN,A,ROAD,1,192,15.35,0.01535,0.079951
2024-01,PRD-00050,Fabric Softener 1.5L,CLN,A,ROAD,1,168,14.16,0.014162,0.084301
2024-01,PRD-00025,Toothpaste Whitening 100ml,PCA,A,SEA,1,144,12.9,0.012895,0.089549
2024-01,PRD-00022,Facial Cleanser 150ml,PCA,C,ROAD,1,186,11.17,0.011172,0.060062
2024-01,PRD-00005,Washing Up Liquid 500ml,HHE,B,ROAD,1,240,10.72,0.010718,0.04466
2024-01,PRD-00046,Professional Floor Cleaner 5L,CLN,B,ROAD,1,216,9.87,0.009871,0.0457
2024-01,PRD-00033,Apple Cider Vinegar 500ml,FBV,A,ROAD,1,200,9.02,0.009015,0.045075
2024-01,PRD-00048,Antibacterial Surface Spray 1L,CLN,B,ROAD,1,288,8.89,0.008892,0.030875
2024-01,PRD-00008,Toilet Cleaner 750ml,HHE,C,ROAD,1,200,8.57,0.00857,0.04285
2024-01,PRD-00012,Paper Towels 12-Roll,HHE,A,ROAD,1,200,7.09,0.00709,0.03545
2024-01,PRD-00009,Bathroom Cleaner 500ml,HHE,B,ROAD,1,300,4.71,0.00471,0.0157
2024-01,PRD-00018,Conditioner 400ml,PCA,A,ROAD,1,100,4.62,0.00462,0.0462
2024-01,PRD-00017,Daily Shampoo 400ml,PCA,A,ROAD,1,108,3.31,0.003311,0.030657
2024-01,PRD-00026,Mouthwash Fresh Mint 500ml,PCA,A,ROAD,1,120,2.85,0.002851,0.02376
2024-01,PRD-00030,Instant Hot Chocolate 400g,FBV,A,ROAD,1,192,1.77,0.001766,0.009201
2024-01,PRD-00021,Deodorant Roll-On 50ml,PCA,A,SEA,1,120,0.25,0.000245,0.002044
2024-02,PRD-00038,Luxury Bath Gift Set,SGF,A,AIR,2,200,739.68,0.739678,3.698387
2024-02,PRD-00043,Premium Notebook and Pen Set,SGF,A,AIR,1,100,266.87,0.266867,2.668666
2024-02,PRD-00045,Festive Reed Diffuser,SGF,A,AIR,1,54,169.85,0.169854,3.14545
2024-02,PRD-00001,Premium Kitchen Roll 6-Pack,HHE,B,ROAD,1,288,126.96,0.126956,0.440819
2024-02,PRD-00032,Extra Virgin Olive Oil 500ml,FBV,C,ROAD,1,432,118.18,0.118178,0.273561
2024-02,PRD-00039,Premium Scented Candle Set,SGF,A,AIR,1,48,114.26,0.114263,2.380471
2024-02,PRD-00010,Multi-Surface Wipes 80-Pack,HHE,C,ROAD,1,288,93.42,0.093416,0.324362
2024-02,PRD-00011,Sponge Scourers 10-Pack,HHE,A,ROAD,2,200,52.02,0.05202,0.2601
2024-02,PRD-00031,Organic Honey 340g,FBV,B,ROAD,1,216,45.03,0.045027,0.208457
2024-02,PRD-00040,Artisan Chocolate Selection Box,SGF,A,ROAD,1,168,33.42,0.033415,0.1989
2024-02,PRD-00036,Herbal Tea Variety 40-Pack,FBV,B,ROAD,1,216,33.1,0.033098,0.153231
2024-02,PRD-00034,Protein Granola 500g,FBV,C,ROAD,1,246,33.08,0.033077,0.134459
2024-02,PRD-00015,Drain Unblocker 500ml,HHE,C,ROAD,1,336,28.24,0.028237,0.084039
2024-02,PRD-00035,Mixed Nuts 200g,FBV,A,ROAD,1,192,27.06,0.027061,0.140944
2024-02,PRD-00013,Rubber Gloves Medium Pair,HHE,A,ROAD,1,192,26.13,0.026127,0.136078
2024-02,PRD-00014,Oven Cleaner 300ml,HHE,A,ROAD,1,200,21.69,0.021692,0.10846
2024-02,PRD-00049,Laundry Detergent 2.5kg,CLN,A,ROAD,1,192,15.35,0.01535,0.079951
2024-02,PRD-00050,Fabric Softener 1.5L,CLN,A,ROAD,1,180,15.17,0.015174,0.0843
2024-02,PRD-00020,Shower Gel 500ml,PCA,A,ROAD,1,168,13.24,0.013241,0.078817
2024-02,PRD-00029,English Breakfast Tea 80-Pack,FBV,C,ROAD,1,192,13.05,0.013053,0.067982
2024-02,PRD-00042,Aromatherapy Diffuser Kit,SGF,A,ROAD,1,48,11.28,0.011284,0.235088
