reporting_period,supplier_id,supplier_name,country_of_origin,region,transport_mode,shipment_count,total_weight_kg,total_distance_km,total_units_shipped,total_carbon_kg_co2e,total_carbon_tonnes,avg_carbon_per_unit_kg,carbon_saved_vs_air_kg,total_order_value_gbp,scope_category,report_standard,defra_source
2024-01,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,2,115.10999999999999,11000.0,148,381.13,0.3811,2.524568,0.0,2354.04,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-01,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,7,2028.58,12600.0,1332,365.14,0.3651,0.257554,1833.02,8353.72,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-01,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,6,1320.27,6600.0,1066,145.23,0.1452,0.119937,729.05,6931.72,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-01,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,3,527.27,4200.0,540,73.82,0.0738,0.125393,370.57,4044.84,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-01,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,2,223.05,39000.0,372,69.59,0.0696,0.169109,2548.79,1740.72,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-01,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,4,1707.35,1000.0,896,42.68,0.0427,0.049844,214.27,5604.64,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-01,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,5,1469.76,1250.0,1060,36.74,0.0367,0.037945,184.45,7774.6,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-01,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,1,61.32,250.0,120,0.25,0.0002,0.002044,8.98,1184.4,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-02,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,5,389.81,27500.0,402,1290.66,1.2907,3.118272,0.0,7071.96,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-02,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,9,2240.87,16200.0,1622,403.36,0.4034,0.236761,2024.85,10960.42,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-02,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,7,1463.38,9800.0,1470,204.87,0.2049,0.10624,1028.46,8132.76,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-02,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,6,1001.68,6600.0,1316,110.18,0.1102,0.080355,553.13,7218.16,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-02,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,7,1665.8500000000001,1750.0,1496,41.65,0.0416,0.029725,209.06,12203.44,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-02,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,2,1008.87,500.0,408,25.22,0.0252,0.062825,126.61,3514.56,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-02,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,1,31.86,19500.0,108,9.94,0.0099,0.09204,364.06,1206.36,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-02,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,1,13.92,11000.0,48,2.45,0.0024,0.05104,89.73,858.72,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-03,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,4,283.81,22000.0,308,939.69,0.9397,2.973243,0.0,5286.68,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-03,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,11,3440.29,19800.0,2198,619.25,0.6193,0.261361,3108.65,16123.02,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-03,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,8,1276.54,11200.0,1710,178.72,0.1787,0.101954,897.15,11239.68,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-03,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,5,1430.21,5500.0,1030,157.32,0.1573,0.126037,789.76,7048.54,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-03,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,5,1493.81,1250.0,1044,37.35,0.0373,0.03664,187.47,9214.72,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-03,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,1431.06,750.0,776,35.78,0.0358,0.051225,179.6,4685.84,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-03,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,2,90.5,39000.0,312,28.24,0.0282,0.090788,1034.14,2915.28,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-03,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,3,93.5,33000.0,144,16.46,0.0165,0.114277,602.7,3510.7200000000003,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-04,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,10,3152.7400000000002,18000.0,2408,567.49,0.5675,0.22581,2848.82,16272.119999999999,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-04,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,2,143.3,11000.0,166,474.47,0.4745,2.907058,0.0,2162.7,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
