order_id,supplier_name,supplier_id,product_id,product_name,quantity,unit_cost,order_date,expected_delivery,actual_delivery,transport_mode,weight_kg_total
PO-000001,MedTrade SRL,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,288,4.99,2024-01-21,2024-02-02,2024-02-01,ROAD,705.31
PO-000002,MedTrade SRL,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,342,5.03,2024-03-09,2024-03-24,2024-03-25,ROAD,837.56
PO-000003,Med Trade S.R.L.,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,360,5.11,2024-04-23,2024-05-06,2024-05-08,ROAD,881.64
PO-000004,MedTrade SRL,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,402,4.94,2024-06-11,2024-06-23,2024-06-23,ROAD,984.5
PO-000005,MedTrade SRL,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,420,4.94,2024-07-30,2024-08-12,2024-08-14,ROAD,1028.58
PO-000006,MedTrade SRL,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,384,5.07,2024-09-13,2024-09-23,2024-09-23,ROAD,940.42
PO-000007,MedTrade SRL,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,420,5.06,2024-10-24,2024-11-06,2024-11-05,ROAD,1028.58
PO-000008,MedTrade Srl,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,570,4.84,2024-12-13,2024-12-28,2024-12-27,ROAD,1395.93
PO-000009,MedTrade SRL,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,288,4.91,2025-01-30,2025-02-13,2025-02-12,ROAD,705.31
PO-000010,MedTrade SRL,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,342,5.02,2025-03-21,2025-04-03,2025-04-02,ROAD,837.56
PO-000011,MedTrade SRL,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,384,4.87,2025-05-10,2025-05-21,2025-05-24,ROAD,940.42
PO-000012,MedTrade SRL,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,402,4.93,2025-06-21,2025-07-04,2025-07-04,ROAD,984.5
PO-000013,MedTrade SRL,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,402,5.0,2025-08-04,2025-08-16,2025-08-18,ROAD,984.5
PO-000014,MedTrade SRL,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,384,5.01,2025-09-19,2025-10-01,2025-10-02,ROAD,940.42
PO-000015,MedTrade SRL,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,516,4.9,2025-11-02,2025-11-16,2025-11-18,ROAD,1263.68
PO-000016,MedTrade SRL,SUP-006,PRD-00001,Premium Kitchen Roll 6-Pack,570,4.99,2025-12-19,2025-12-31,2026-01-03,ROAD,1395.93
PO-000017,MedTrade SRL,SUP-006,PRD-00002,Aluminium Foil 30m Roll,240,3.25,2024-01-04,2024-01-17,2024-01-20,ROAD,593.52
PO-000018,MedTrade SRL,SUP-006,PRD-00002,Aluminium Foil 30m Roll,240,3.34,2024-02-29,2024-03-16,2024-03-16,ROAD,593.52
PO-000019,MedTrade SRL,SUP-006,PRD-00002,Aluminium Foil 30m Roll,288,3.24,2024-04-25,2024-05-05,2024-05-06,ROAD,712.22
PO-000020,MedTrade SRL,SUP-006,PRD-00002,Aluminium Foil 30m Roll,336,3.17,2024-06-27,2024-07-09,2024-07-09,ROAD,830.93
PO-000021,MedTrade SRL,SUP-006,PRD-00002,Aluminium Foil 30m Roll,336,3.1,2024-08-26,2024-09-05,2024-09-06,ROAD,830.93
