order_id,supplier_name,product_id,product_name,quantity,unit_cost,order_date,expected_delivery,actual_delivery,transport_mode,weight_kg_total
PO-000103,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,200,10.39,2024-01-25,2024-01-29,2024-02-01,ROAD,73.4
PO-000104,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,200,10.36,2024-02-22,2024-02-27,2024-02-28,ROAD,73.4
PO-000105,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,200,10.31,2024-03-24,2024-03-27,2024-03-26,ROAD,73.4
PO-000106,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,200,10.41,2024-04-26,2024-05-02,2024-05-02,ROAD,73.4
PO-000107,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,200,10.44,2024-05-30,2024-06-03,2024-06-05,ROAD,73.4
PO-000108,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,200,10.34,2024-07-01,2024-07-05,2024-07-04,ROAD,73.4
PO-000109,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,200,10.6,2024-08-05,2024-08-08,2024-08-09,ROAD,73.4
PO-000110,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,200,10.71,2024-08-30,2024-09-04,2024-09-06,ROAD,73.4
PO-000111,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,200,10.42,2024-09-28,2024-10-03,2024-10-04,ROAD,73.4
PO-000112,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,-200,10.46,2024-10-31,2024-11-05,2024-11-08,ROAD,73.4
PO-000113,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,300,10.55,2024-11-26,2024-11-29,2024-11-29,ROAD,110.1
PO-000114,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,300,10.61,2024-12-24,2024-12-29,2024-12-29,ROAD,110.1
PO-000115,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,200,10.74,2025-01-22,2025-01-26,2025-01-28,ROAD,73.4
PO-000116,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,200,10.21,2025-02-24,2025-02-28,2025-03-03,ROAD,73.4
PO-000117,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,200,10.47,2025-03-22,2025-03-26,2025-03-28,ROAD,73.4
PO-000118,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,200,10.77,2025-04-18,2025-04-22,2025-04-25,,73.4
PO-000119,BritGoods Ltd,PRD-00007,Kitchen Cleaner Spray 750ml,200,10.66,2025-05-20,2025-05-24,2025-05-25,ROAD,73.4
