order_id,supplier_name,product_id,product_name,quantity,unit_cost,order_date,expected_delivery,actual_delivery,transport_mode,weight_kg_total
PO-000071,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,240,5.72,2024-01-06,2024-01-16,2024-01-15,ROAD,97.44
PO-000072,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,252,5.68,2024-02-17,2024-02-26,2024-02-27,ROAD,102.31
PO-000073,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,300,5.48,2024-04-01,2024-04-08,2024-04-11,ROAD,121.8
PO-000074,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,318,5.59,2024-05-14,2024-05-22,2024-05-23,ROAD,129.11
PO-000075,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,348,5.47,2024-07-01,2024-07-09,2024-07-09,ROAD,141.29
PO-000076,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,336,5.34,2024-08-13,2024-08-23,2024-08-22,ROAD,136.42
PO-000077,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,348,5.9,2024-10-02,2024-10-09,2024-10-11,ROAD,141.29
PO-000078,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,426,5.81,2024-11-19,2024-11-27,2024-11-30,ROAD,172.96
PO-000079,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,474,5.7,2024-12-31,2025-01-08,2025-01-08,ROAD,192.44
PO-000080,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,252,5.61,2025-02-09,2025-02-17,2025-02-20,ROAD,102.31
PO-000081,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,288,5.36,2025-03-31,2025-04-07,2025-04-08,ROAD,116.93
PO-000082,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,318,5.57,2025-05-15,2025-05-22,2025-05-25,ROAD,129.11
PO-000083,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,348,5.5,2025-07-03,2025-07-10,2025-07-10,ROAD,141.29
PO-000084,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,336,5.66,2025-08-17,2025-08-24,2025-08-23,ROAD,136.42
PO-000085,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,318,5.62,2025-09-30,2025-10-08,2025-10-07,ROAD,129.11
PO-000086,EuroFast GmbH,PRD-00005,Washing Up Liquid 500ml,426,5.65,2025-11-16,2025-11-24,2025-11-23,ROAD,172.96
PO-000241,EuroFast GmbH,PRD-00014,Oven Cleaner 300ml,200,7.49,2024-01-30,2024-02-10,2024-02-11,ROAD,197.2
PO-000242,EuroFast GmbH,PRD-00014,Oven Cleaner 300ml,300,7.55,2024-03-02,2024-03-11,2024-03-14,ROAD,295.8
PO-000243,EuroFast GmbH,PRD-00014,Oven Cleaner 300ml,300,7.35,2024-03-27,2024-04-05,2024-04-05,ROAD,295.8
PO-000244,EuroFast GmbH,PRD-00014,Oven Cleaner 300ml,300,7.33,2024-04-23,2024-05-02,2024-05-05,ROAD,295.8
PO-000245,EUROFAST,PRD-00014,Oven Cleaner 300ml,300,7.17,2024-05-25,2024-06-01,2024-06-03,ROAD,295.8
PO-000246,EuroFast GmbH,PRD-00014,Oven Cleaner 300ml,300,7.62,2024-06-19,2024-06-26,2024-06-25,ROAD,295.8
PO-000247,EuroFast GmbH,PRD-95735,Oven Cleaner 300ml,300,7.37,2024-07-22,2024-08-01,2024-08-02,ROAD,295.8
PO-000248,EuroFast GmbH,PRD-00014,Oven Cleaner 300ml,300,7.65,2024-08-19,2024-08-27,2024-08-30,ROAD,295.8
PO-000249,EuroFast GmbH,PRD-00014,Oven Cleaner 300ml,300,7.78,2024-09-17,2024-09-24,2024-09-27,ROAD,295.8
PO-000250,EUROFAST,PRD-00014,Oven Cleaner 300ml,300,7.64,2024-10-17,2024-10-26,2024-10-27,ROAD,295.8
PO-000251,EuroFast GmbH,PRD-00014,Oven Cleaner 300ml,400,7.49,2024-11-19,2024-11-29,2024-12-01,ROAD,394.4
PO-000252,EuroFast GmbH,PRD-00014,Oven Cleaner 300ml,400,7.4,20-Dec-24,2024-12-29,2024-12-30,ROAD,394.4
PO-000253,EuroFast GmbH,PRD-00014,Oven Cleaner 300ml,200,7.3,2025-01-22,2025-01-30,2025-01-31,ROAD,197.2
PO-000254,EuroFast GmbH,PRD-00014,Oven Cleaner 300ml,200,7.61,2025-02-16,2025-02-26,2025-02-26,ROAD,197.2
PO-000255,EuroFast GmbH,PRD-00014,Oven Cleaner 300ml,300,7.67,2025-03-20,2025-03-29,2025-03-31,ROAD,295.8
