order_id,supplier_name,product_id,product_name,quantity,unit_cost,order_date,expected_delivery,actual_delivery,transport_mode,weight_kg_total
PO-000781,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,48,17.89,2024-01-05,2024-02-02,2024-02-01,SEA,13.92
PO-000782,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,48,18.08,2024-02-08,2024-03-25,2024-03-26,SEA,13.92
PO-000783,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,48,17.62,2024-03-07,2024-04-04,2024-04-03,SEA,13.92
PO-000784,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,17.99,2024-04-02,2024-04-24,2024-04-26,SEA,27.84
PO-000785,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,18.5,2024-04-29,2024-06-06,2024-06-07,AIR,27.84
PO-000786,India Manufact Pvt Ltd,PRD-00041,Spa Pamper Set,96,17.76,2024-06-01,2024-06-27,2024-06-26,SEA,27.84
PO-000787,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,17.71,2024-06-30,2024-08-07,2024-08-08,SEA,27.84
PO-000788,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,18.57,2024-07-30,2024-09-05,2024-09-07,SEA,27.84
PO-000789,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,17.96,2024-08-29,2024-09-23,2024-09-25,SEA,27.84
PO-000790,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,17.77,2024-09-29,2024-10-19,2024-10-18,SEA,27.84
PO-000791,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,17.76,2024-10-25,2024-11-14,2024-11-13,SEA,27.84
PO-000792,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,17.75,2024-11-26,2024-12-16,2024-12-16,SEA,27.84
PO-000793,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,17.66,2024-12-28,2025-01-25,2025-01-24,SEA,27.84
PO-000794,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,48,18.57,2025-02-01,2025-03-03,2025-03-05,SEA,13.92
PO-000795,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,48,18.26,2025-02-27,2025-04-11,2025-04-13,SEA,13.92
PO-000796,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,48,18.45,2025-03-31,2025-04-20,2025-04-21,SEA,13.92
PO-000797,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,17.78,2025-04-30,2025-05-28,2025-05-29,SEA,27.84
PO-000798,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,18.15,2025-05-25,2025-06-18,2025-06-18,SEA,27.84
PO-000799,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,17.87,2025-06-22,2025-07-20,2025-07-19,SEA,27.84
PO-000800,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,18.19,2025-07-26,2025-08-15,2025-08-14,SEA,27.84
PO-000801,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,18.06,2025-08-30,2025-10-01,2025-10-02,SEA,27.84
PO-000802,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,17.78,2025-10-04,2025-11-03,2025-11-06,SEA,27.84
PO-000803,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,17.92,2025-11-08,2025-12-05,2025-12-04,SEA,27.84
PO-000804,IndiaManufact Pvt,PRD-00041,Spa Pamper Set,96,18.28,2025-12-09,2025-12-29,2025-12-28,SEA,27.84
PO-000856,IndiaManufact Pvt,PRD-00044,Personalised Mug Gift Box,48,27.37,2024-01-29,2024-03-01,2024-03-01,SEA,39.79
PO-000857,IndiaManufact Pvt,PRD-00044,Personalised Mug Gift Box,48,27.69,2024-02-26,2024-03-26,2024-03-29,SEA,39.79
PO-000858,IndiaManufact,PRD-00044,Personalised Mug Gift Box,48,25.92,2024-03-31,2024-04-23,2024-04-26,SEA,39.79
PO-000859,IndiaManufact Pvt,PRD-00044,Personalised Mug Gift Box,48,27.37,2024-05-04,2024-06-03,2024-06-05,SEA,39.79
PO-000860,IndiaManufact Pvt,PRD-00044,Personalised Mug Gift Box,48,26.39,2024-05-29,2024-06-24,2024-06-25,SEA,39.79
PO-000861,IndiaManufact Pvt,PRD-00044,Personalised Mug Gift Box,72,26.96,2024-07-02,2024-07-22,2024-07-25,SEA,59.69
PO-000862,IndiaManufact Pvt,PRD-00044,Personalised Mug Gift Box,72,28.19,2024-07-31,2024-08-24,2024-08-24,SEA,59.69
PO-000863,IndiaManufact Pvt,PRD-00044,Personalised Mug Gift Box,48,27.07,2024-09-04,2024-09-27,2024-09-29,SEA,39.79
PO-000864,IndiaManufact Pvt,PRD-00044,Personalised Mug Gift Box,72,27.26,2024-10-05,2024-10-27,2024-10-27,SEA,59.69
PO-000865,IndiaManufact Pvt,PRD-00044,Personalised Mug Gift Box,72,27.05,2024-11-07,2024-11-28,2024-11-30,SEA,59.69
PO-000866,IndiaManufact Pvt,PRD-00044,Personalised Mug Gift Box,96,27.16,2024-12-11,2025-01-01,2024-12-31,SEA,79.58
