order_id,supplier_name,product_id,product_name,quantity,unit_cost,order_date,expected_delivery,actual_delivery,transport_mode,weight_kg_total
PO-000277,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,240,4.21,2024-01-17,2024-01-25,2024-01-24,ROAD,148.8
PO-000278,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,300,4.01,03/06/2024,2024-03-14,2024-03-16,ROAD,186.0
PO-000279,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,312,4.19,2024-04-21,2024-04-29,2024-04-30,ROAD,193.44
PO-000280,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,348,4.2,2024-06-09,2024-06-19,2024-06-20,ROAD,215.76
PO-000281,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,360,4.16,2024-07-23,2024-08-02,2024-08-03,ROAD,223.2
PO-000282,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,324,4.22,2024-09-10,2024-09-20,2024-09-20,ROAD,200.88
PO-000283,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,360,4.32,2024-10-29,2024-11-06,2024-11-07,ROAD,223.2
PO-000284,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,492,4.39,2024-12-18,2024-12-28,2024-12-29,ROAD,305.04
PO-000285,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,264,4.21,2025-02-06,2025-02-14,2025-02-16,ROAD,163.68
PO-000286,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,300,4.24,2025-03-24,2025-04-05,2025-04-06,ROAD,186.0
PO-000287,NORDICSUPPLY,PRD-00016,Moisturising Hand Cream 100ml,324,4.21,2025-05-13,2025-05-23,2025-05-24,ROAD,200.88
PO-000288,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,348,4.26,2025-06-28,2025-07-11,2025-07-12,ROAD,215.76
PO-000289,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,348,4.3,2025-08-12,2025-08-25,2025-08-27,ROAD,215.76
PO-000290,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,324,4.16,2025-09-26,2025-10-06,2025-10-05,ROAD,200.88
PO-000291,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,444,4.1,2025-11-05,2025-11-16,2025-11-17,ROAD,275.28
PO-000292,NordicSupply AS,PRD-00016,Moisturising Hand Cream 100ml,492,4.25,2025-12-23,2026-01-02,2026-01-01,ROAD,305.04
PO-000293,NordicSupply AS,PRD-00017,Daily Shampoo 400ml,108,14.07,2024-01-09,2024-01-19,2024-01-20,ROAD,23.65
PO-000294,NORDICSUPPLY,PRD-00017,Daily Shampoo 400ml,114,13.98,2024-02-06,2024-02-17,2024-02-16,ROAD,24.97
PO-000295,NordicSupply AS,PRD-00017,Daily Shampoo 400ml,126,14.16,2024-03-04,2024-03-14,2024-03-15,ROAD,27.59
PO-000296,NordicSupply,PRD-00017,Daily Shampoo 400ml,132,13.99,2024-04-06,2024-04-19,2024-04-22,ROAD,28.91
PO-000297,NordicSupply AS,PRD-00017,Daily Shampoo 400ml,138,14.69,2024-05-11,2024-05-23,2024-05-22,SEA,30.22
PO-000298,NordicSupply AS,PRD-00017,Daily Shampoo 400ml,144,14.83,2024-06-08,2024-06-22,2024-06-21,ROAD,31.54
PO-000299,NordicSupply AS,PRD-00017,Daily Shampoo 400ml,156,14.33,2024-07-12,2024-07-21,2024-07-23,ROAD,34.16
PO-000300,NordicSupply AS,PRD-00017,Daily Shampoo 400ml,144,13.95,2024-08-08,2024-08-20,2024-08-19,ROAD,31.54
PO-000301,NordicSupply AS,PRD-00017,Daily Shampoo 400ml,138,14.07,2024-09-08,2024-09-19,2024-09-22,ROAD,30.22
PO-000302,NordicSupply AS,PRD-00017,Daily Shampoo 400ml,156,14.42,2024-10-10,2024-10-22,2024-10-23,SEA,34.16
PO-000303,NordicSupply AS,PRD-00017,Daily Shampoo 400ml,192,13.98,2024-11-08,2024-11-21,2024-11-21,ROAD,42.05
PO-000304,NordicSupply AS,PRD-00017,Daily Shampoo 400ml,210,14.25,2024-12-09,2024-12-19,2024-12-18,ROAD,45.99
PO-000304,NordicSupply AS,PRD-00017,Daily Shampoo 400ml,212,14.25,2024-12-09,2024-12-19,2024-12-18,ROAD,45.99
PO-000305,NordicSupply AS,PRD-00017,Daily Shampoo 400ml,108,14.2,2025-01-12,2025-01-24,2025-01-24,ROAD,23.65
