order_id,supplier_name,product_id,product_name,quantity,unit_cost,order_date,expected_delivery,actual_delivery,transport_mode,weight_kg_total
PO-000707,USBrands Inc,PRD-00038,Luxury Bath Gift Set,100,18.96,2024-01-17,2024-02-03,2024-02-05,AIR,111.7
PO-000708,USBrands Inc,PRD-00038,Luxury Bath Gift Set,100,18.98,2024-02-12,2024-02-26,2024-02-28,AIR,111.7
PO-000709,USBrands Inc,PRD-00038,Luxury Bath Gift Set,100,18.65,2024-03-08,2024-03-23,2024-03-26,AIR,111.7
PO-000710,USBrands Inc,PRD-00038,Luxury Bath Gift Set,100,19.24,2024-04-11,2024-05-01,2024-05-04,AIR,111.7
PO-000711,USBrands Inc,PRD-00038,Luxury Bath Gift Set,100,18.82,2024-05-12,2024-06-01,2024-06-01,AIR,111.7
PO-000712,USBrands Inc,PRD-00038,Luxury Bath Gift Set,100,19.11,2024-06-08,2024-06-25,2024-06-25,AIR,111.7
PO-000713,USBrands Inc,PRD-00038,Luxury Bath Gift Set,100,18.47,2024-07-13,2024-07-30,2024-07-29,AIR,111.7
PO-000714,USBrands Inc,PRD-00038,Luxury Bath Gift Set,100,18.76,2024-08-15,2024-09-07,2024-09-09,AIR,111.7
PO-000715,USBrands Inc,PRD-00038,Luxury Bath Gift Set,100,18.33,2024-09-14,2024-09-28,2024-10-01,AIR,111.7
PO-000716,USBrands Inc,PRD-00038,Luxury Bath Gift Set,100,19.39,2024-10-11,2024-10-28,2024-10-29,AIR,111.7
PO-000717,USBrands Inc,PRD-00038,Luxury Bath Gift Set,100,19.17,2024-11-10,2024-12-04,2024-12-05,SEA,111.7
PO-000718,USBRANDS,PRD-00038,Luxury Bath Gift Set,100,18.98,2024-12-15,2024-12-29,2024-12-29,AIR,111.7
PO-000719,USBrands Inc,PRD-00038,Luxury Bath Gift Set,100,18.5,2025-01-10,2025-02-03,2025-02-05,AIR,111.7
PO-000720,USBrands Inc,PRD-00038,Luxury Bath Gift Set,100,18.74,2025-02-08,2025-02-25,2025-02-25,AIR,111.7
PO-000721,USBrands Inc,PRD-00038,Luxury Bath Gift Set,100,19.41,2025-03-06,2025-04-03,2025-04-02,SEA,111.7
