order_id,supplier_name,product_id,product_name,quantity,unit_cost,order_date,expected_delivery,actual_delivery,transport_mode,weight_kg_total
PO-000127,LocalPack Ltd,PRD-00008,Toilet Cleaner 750ml,200,3.68,2024-01-20,2024-01-23,2024-01-26,ROAD,342.8
PO-000128,LocalPack Ltd,PRD-00008,Toilet Cleaner 750ml,200,3.73,2024-03-24,2024-03-28,2024-03-29,ROAD,342.8
PO-000129,LocalPack Ltd,PRD-00008,Toilet Cleaner 750ml,300,3.62,2024-05-23,2024-05-25,2024-05-24,ROAD,514.2
PO-000130,LocalPack,PRD-00008,Toilet Cleaner 750ml,300,3.85,2024-07-19,2024-07-21,2024-07-24,ROAD,514.2
PO-000131,LocalPack Ltd,PRD-00008,Toilet Cleaner 750ml,300,3.76,2024-09-18,2024-09-21,2024-09-24,ROAD,514.2
PO-000132,LocalPack Ltd,PRD-99384,Toilet Cleaner 750ml,400,3.72,2024-11-12,2024-11-14,2024-11-14,ROAD,685.6
PO-000133,LocalPack Ltd,PRD-00008,Toilet Cleaner 750ml,200,3.82,2025-01-14,2025-01-17,2025-01-17,ROAD,342.8
PO-000134,LocalPack Ltd,PRD-00008,Toilet Cleaner 750ml,200,3.77,2025-03-13,2025-03-16,2025-03-17,ROAD,342.8
PO-000135,LocalPack Ltd,PRD-00008,Toilet Cleaner 750ml,300,3.73,2025-05-14,2025-05-16,2025-05-17,ROAD,514.2
PO-000136,LocalPack Ltd,PRD-00008,Toilet Cleaner 750ml,300,3.65,2025-07-18,2025-07-21,2025-07-24,ROAD,514.2
PO-000137,LocalPack Ltd,PRD-00008,Toilet Cleaner 750ml,300,3.77,2025-09-19,2025-09-22,2025-09-25,ROAD,514.2
PO-000138,LocalPack Ltd,PRD-00008,Toilet Cleaner 750ml,400,3.79,2025-11-15,2025-11-17,2025-11-17,ROAD,685.6
PO-000903,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,216,6.7,2024-01-11,2024-01-13,2024-01-12,ROAD,394.85
PO-000904,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,216,6.68,2024-02-25,2024-02-27,2024-02-28,ROAD,394.85
PO-000905,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,264,6.41,2024-04-13,2024-04-16,2024-04-17,ROAD,482.59
PO-000906,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,288,6.5,2024-05-27,2024-05-30,2024-06-01,ROAD,526.46
PO-000907,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,312,6.46,2024-07-15,2024-07-17,2024-07-17,ROAD,570.34
PO-000908,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,288,6.5,2024-09-01,2024-09-03,2024-09-03,ROAD,526.46
PO-000909,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,312,6.45,2024-10-19,2024-10-21,2024-10-21,,570.34
PO-000910,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,384,6.64,2024-11-29,2024-12-01,2024-12-04,ROAD,701.95
PO-000911,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,216,6.52,2025-01-11,2025-01-14,2025-01-16,ROAD,394.85
PO-000912,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,264,6.67,2025-03-01,2025-03-03,2025-03-02,ROAD,482.59
PO-000913,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,264,6.44,2025-04-10,2025-04-12,2025-04-11,ROAD,482.59
PO-000914,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,288,6.76,2025-05-28,2025-05-30,2025-05-29,ROAD,526.46
PO-000915,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,312,6.68,2025-07-09,2025-07-11,2025-07-10,ROAD,570.34
PO-000916,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,288,6.39,2025-08-25,2025-08-28,2025-08-31,ROAD,526.46
PO-000917,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,312,6.59,2025-10-14,2025-10-17,2025-10-17,ROAD,570.34
PO-000918,LocalPack Ltd,PRD-00046,Professional Floor Cleaner 5L,384,6.55,2025-11-30,2025-12-03,2025-12-06,ROAD,701.95
PO-000932,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,288,4.84,2024-01-16,2024-01-18,2024-01-21,ROAD,355.68
PO-000933,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,384,4.93,2024-03-01,2024-03-03,2024-03-04,ROAD,474.24
PO-000934,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,384,4.87,2024-04-17,2024-04-20,2024-04-23,ROAD,474.24
PO-000935,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,432,5.09,2024-06-06,2024-06-09,2024-06-09,ROAD,533.52
PO-000936,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,432,4.84,2024-07-20,2024-07-23,2024-07-26,ROAD,533.52
PO-000937,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,432,4.92,2024-08-29,2024-09-01,2024-09-01,ROAD,533.52
PO-000938,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,432,4.98,2024-10-18,2024-10-21,2024-10-21,ROAD,533.52
PO-000939,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,624,5.0,2024-12-01,2024-12-04,2024-12-05,ROAD,770.64
PO-000940,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,288,5.02,2025-01-11,2025-01-14,2025-01-14,ROAD,355.68
PO-000941,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,384,4.82,2025-03-01,2025-03-03,2025-03-04,ROAD,474.24
PO-000942,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,384,4.78,2025-04-13,2025-04-16,2025-04-15,ROAD,474.24
PO-000943,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,384,4.86,2025-05-30,2025-06-01,2025-06-03,ROAD,474.24
PO-000944,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,432,4.78,2025-07-11,2025-07-15,2025-07-17,ROAD,533.52
PO-000945,LOCALPACK,PRD-00048,Antibacterial Surface Spray 1L,432,4.89,2025-08-21,2025-08-23,2025-08-25,ROAD,533.52
PO-000946,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,432,4.96,2025-10-10,2025-10-12,2025-10-13,ROAD,533.52
PO-000947,LocalPack Ltd,PRD-00048,Antibacterial Surface Spray 1L,528,4.89,2025-11-25,2025-11-27,2025-11-26,ROAD,652.08
PO-000948,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,192,10.56,2024-01-20,2024-01-22,2024-01-24,ROAD,614.02
PO-000949,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,192,10.79,2024-02-14,2024-02-16,2024-02-18,ROAD,614.02
PO-000950,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,192,10.66,2024-03-16,2024-03-18,2024-03-21,ROAD,614.02
PO-000951,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,192,10.64,2024-04-11,2024-04-14,2024-04-15,ROAD,614.02
PO-000952,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,240,10.7,2024-05-10,2024-05-13,2024-05-15,ROAD,767.52
PO-000953,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,240,10.55,2024-06-12,2024-06-15,2024-06-15,ROAD,767.52
PO-000954,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,240,10.41,2024-07-09,2024-07-11,2024-07-11,ROAD,767.52
PO-000955,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,240,10.41,2024-08-05,2024-08-09,2024-08-10,ROAD,767.52
PO-000956,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,240,10.62,2024-09-05,2024-09-09,2024-09-08,ROAD,767.52
PO-000957,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,240,10.71,2024-10-04,2024-10-08,2024-10-09,ROAD,767.52
PO-000958,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,240,10.79,2024-10-31,2024-11-03,2024-11-02,ROAD,767.52
PO-000959,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,288,10.94,2024-11-25,2024-11-29,2024-11-30,ROAD,921.02
PO-000960,LOCALPACK,PRD-00049,Laundry Detergent 2.5kg,336,11.07,2024-12-21,2024-12-23,2024-12-24,ROAD,1074.53
PO-000961,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,192,10.97,2025-01-17,2025-01-19,2025-01-20,ROAD,614.02
PO-000962,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,192,10.59,2025-02-16,2025-02-19,2025-02-20,ROAD,614.02
PO-000963,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,192,10.76,2025-03-23,2025-03-25,2025-03-28,ROAD,614.02
PO-000964,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,192,10.74,2025-04-20,2025-04-24,2025-04-24,ROAD,614.02
PO-000965,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,240,10.23,2025-05-18,2025-05-21,2025-05-22,ROAD,767.52
PO-000966,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,240,10.57,2025-06-17,2025-06-20,2025-06-19,ROAD,767.52
PO-000967,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,240,10.78,2025-07-14,2025-07-16,2025-07-16,ROAD,767.52
PO-000968,LocalPack Ltd,PRD-98159,Laundry Detergent 2.5kg,240,10.59,2025-08-16,2025-08-20,2025-08-23,ROAD,767.52
PO-000969,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,240,10.37,2025-09-17,2025-09-20,2025-09-20,ROAD,767.52
PO-000970,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,240,10.45,2025-10-16,2025-10-18,2025-10-19,ROAD,767.52
PO-000971,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,288,10.95,2025-11-13,2025-11-15,2025-11-15,ROAD,921.02
PO-000972,LocalPack Ltd,PRD-00049,Laundry Detergent 2.5kg,336,10.4,2025-12-17,2025-12-19,2025-12-22,ROAD,1074.53
