order_id,error_type
PO-000003,SUPPLIER_NAME_MISMATCH
PO-000008,SUPPLIER_NAME_MISMATCH
PO-000023,UNKNOWN_PRODUCT_ID
PO-000027,SUPPLIER_NAME_MISMATCH
PO-000033,DUPLICATE_ORDER_ID
PO-000037,MISSING_TRANSPORT_MODE
PO-000048,SUPPLIER_NAME_MISMATCH
PO-000051,UNKNOWN_PRODUCT_ID
PO-000055,UNKNOWN_PRODUCT_ID
PO-000068,NEGATIVE_QUANTITY
PO-000094,UNKNOWN_PRODUCT_ID
PO-000112,NEGATIVE_QUANTITY
PO-000118,MISSING_TRANSPORT_MODE
PO-000130,SUPPLIER_NAME_MISMATCH
PO-000132,UNKNOWN_PRODUCT_ID
PO-000169,MISSING_TRANSPORT_MODE
PO-000181,DUPLICATE_ORDER_ID
PO-000185,UNKNOWN_PRODUCT_ID
PO-000186,SUPPLIER_NAME_MISMATCH
PO-000189,SUPPLIER_NAME_MISMATCH
PO-000190,NEGATIVE_QUANTITY
PO-000199,SUPPLIER_NAME_MISMATCH
PO-000206,DATE_FORMAT_MISMATCH
PO-000219,SUPPLIER_NAME_MISMATCH
PO-000233,UNKNOWN_PRODUCT_ID
PO-000237,DUPLICATE_ORDER_ID
PO-000245,SUPPLIER_NAME_MISMATCH
PO-000247,UNKNOWN_PRODUCT_ID
PO-000250,SUPPLIER_NAME_MISMATCH
PO-000252,DATE_FORMAT_MISMATCH
PO-000261,SUPPLIER_NAME_MISMATCH
PO-000278,DATE_FORMAT_MISMATCH
PO-000287,SUPPLIER_NAME_MISMATCH
PO-000294,SUPPLIER_NAME_MISMATCH
PO-000296,SUPPLIER_NAME_MISMATCH
PO-000304,DUPLICATE_ORDER_ID
PO-000311,SUPPLIER_NAME_MISMATCH
PO-000315,COST_OUTLIER
PO-000319,DATE_FORMAT_MISMATCH
PO-000325,MISSING_TRANSPORT_MODE
PO-000329,COST_OUTLIER
PO-000337,MISSING_TRANSPORT_MODE
PO-000352,DUPLICATE_ORDER_ID
PO-000360,SUPPLIER_NAME_MISMATCH
PO-000364,COST_OUTLIER
PO-000373,DATE_FORMAT_MISMATCH
PO-000374,SUPPLIER_NAME_MISMATCH
PO-000380,SUPPLIER_NAME_MISMATCH
PO-000394,MISSING_TRANSPORT_MODE
PO-000406,MISSING_TRANSPORT_MODE
PO-000431,DATE_FORMAT_MISMATCH
PO-000441,SUPPLIER_NAME_MISMATCH
PO-000446,SUPPLIER_NAME_MISMATCH
PO-000456,UNKNOWN_PRODUCT_ID
PO-000460,UNKNOWN_PRODUCT_ID
PO-000462,SUPPLIER_NAME_MISMATCH
PO-000464,SUPPLIER_NAME_MISMATCH
PO-000465,SUPPLIER_NAME_MISMATCH
PO-000470,SUPPLIER_NAME_MISMATCH
PO-000471,SUPPLIER_NAME_MISMATCH
PO-000475,DATE_FORMAT_MISMATCH
PO-000483,MISSING_TRANSPORT_MODE
PO-000499,NEGATIVE_QUANTITY
PO-000500,SUPPLIER_NAME_MISMATCH
PO-000506,COST_OUTLIER
PO-000531,UNKNOWN_PRODUCT_ID
PO-000542,SUPPLIER_NAME_MISMATCH
PO-000543,SUPPLIER_NAME_MISMATCH
PO-000563,MISSING_TRANSPORT_MODE
PO-000573,DATE_FORMAT_MISMATCH
PO-000590,DATE_FORMAT_MISMATCH
PO-000594,MISSING_TRANSPORT_MODE
PO-000596,SUPPLIER_NAME_MISMATCH
PO-000608,SUPPLIER_NAME_MISMATCH
PO-000609,MISSING_TRANSPORT_MODE
PO-000611,DATE_FORMAT_MISMATCH
PO-000617,SUPPLIER_NAME_MISMATCH
PO-000624,SUPPLIER_NAME_MISMATCH
PO-000636,SUPPLIER_NAME_MISMATCH
PO-000640,SUPPLIER_NAME_MISMATCH
PO-000641,SUPPLIER_NAME_MISMATCH
PO-000644,DATE_FORMAT_MISMATCH
PO-000659,SUPPLIER_NAME_MISMATCH
PO-000662,SUPPLIER_NAME_MISMATCH
PO-000677,DATE_FORMAT_MISMATCH
PO-000680,MISSING_TRANSPORT_MODE
